DLiP-ID,C000XV
GGI8,0.16025762156714535
GGI9,0.10905864197530865
JGI1,0.14814814814814814
JGI2,0.07602339181286552
JGI3,0.04970760233918128
JGI4,0.02853535353535354
JGI5,0.02294612794612795
JGI6,0.01808956916099773
JGI7,0.011076413323950268
JGI8,0.007631315312721207
JGI9,0.008389126305792973
MIC0,12.363332497565379
MIC1,25.93643110827857
MIC2,33.42718505727118
MIC3,36.11193082645084
MIC4,37.358775270895286
MIC5,37.44837527089529
MPC2,38
MPC3,52
MPC4,70
MPC5,89
MPC6,91
MPC7,105
MPC8,116
MPC9,115
Mare,0.9680888888888892
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.21177219360281507
RPCG,0.14706209662863748
SIC0,0.2577606944493578
SIC1,0.5554332596301722
SIC2,0.7034629245672135
SIC3,0.835089513352056
SIC4,0.8836462868107063
SIC5,0.8998318779635897
SaaN,0
SaaO,0
SaaS,0
Sare,43.564000000000014
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,63.70127405657068
TIC1,137.26610400170003
TIC2,173.8491768196911
TIC3,206.37850183267184
TIC4,218.37850183267187
TIC5,222.37850183267187
Vabc,303.93916479663653
WPol,38
apol,51.50465299999998
bpol,25.925346999999995
nRot,2
ABCGG,15.094609161472212
ATS0Z,952.0
ATS0d,151.0
ATS0i,7238.3292885417295
ATS0m,3751.1759119999992
ATS0p,69.38807500182898
ATS0s,149.91666666666669
ATS0v,10069.42996466554
ATS1Z,1159.0
ATS1d,194.0
ATS1i,7005.0004325392965
ATS1m,4391.083599000003
ATS1p,89.23989850000004
ATS1s,137.44444444444446
ATS1v,12875.815284931194
ATS2Z,1706.0
ATS2d,316.0
ATS2i,13003.549314020236
ATS2m,6326.956469999996
ATS2p,136.41456631394294
ATS2s,226.7777777777778
ATS2v,19243.07660573582
ATS3Z,1827.0
ATS3d,350.0
ATS3i,17150.664427559932
ATS3m,6562.08745
ATS3p,160.7698742238859
ATS3s,279.0
ATS3v,21715.506986301814
ATS4Z,1666.0
ATS4d,341.0
ATS4i,19085.67462475892
ATS4m,5841.408165
ATS4p,159.714094362074
ATS4s,281.99999999999994
ATS4v,20721.158370615627
ATS5Z,1619.0
ATS5d,319.0
ATS5i,18524.924630677368
ATS5m,5764.234385
ATS5p,148.484520067168
ATS5s,286.11111111111103
ATS5v,19519.818113176836
ATS6Z,1585.0
ATS6d,298.0
ATS6i,16216.967907824433
ATS6m,5665.701515999998
ATS6p,139.38332491497997
ATS6s,271.8333333333333
ATS6v,18538.691198315446
ATS7Z,1458.0
ATS7d,276.0
ATS7i,15713.169893203929
ATS7m,5154.067093000001
ATS7p,131.28646828413096
ATS7s,250.16666666666669
ATS7v,17384.40182469387
ATS8Z,1201.0
ATS8d,235.0
ATS8i,15007.838918792688
ATS8m,4021.0454330000002
ATS8p,117.566448663037
ATS8s,239.33333333333337
ATS8v,15042.254733651323
C1SP1,0
C1SP2,1
C1SP3,4
C2SP1,0
C2SP2,11
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.25
GGI10,0.06938271604938272
JGI10,0.00867283950617284
JGT10,0.37921988739131146
Kier1,17.415637860082306
Kier2,7.7091412742382275
Kier3,3.7588757396449703
MAXdO,12.366487972905723
MID_C,41.70544981698137
MID_N,6.394900317017436
MID_O,1.790626136929217
MID_X,0.0
MID_h,8.185526453946654
MINdO,12.366487972905723
MPC10,122
MWC01,27.0
MWC02,4.875197323201151
MWC03,5.739792912179234
MWC04,6.626717749249025
MWC05,7.510430556378006
MWC06,8.40357646462927
MWC07,9.294221855956884
MWC08,10.189831229736429
MWC09,11.083787349297781
MWC10,11.980707879143255
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,1
NdssC,2
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,2.9311000000000016
SRW02,4.007333185232471
SRW03,0.0
SRW04,5.332718793265369
SRW05,2.3978952727983707
SRW06,6.86171134048073
SRW07,4.844187086458591
SRW08,8.479491324232226
SRW09,7.018401799069201
SRW10,10.141913727381494
SaaCH,16.200331970368495
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,4.181200205518389
SaasN,0
SdCH2,0
SddsN,0
SdsCH,2.022638888888889
SdssC,0.7190352313765017
SdssS,0
SsCH3,2.1577552599450147
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.945026112105387
SssPH,0
SssSe,0
SsssB,0
SsssN,4.753366979507852
SsssP,0
VE1_A,4.193090210439662
VE1_D,4.82965588119173
VE2_A,0.1747120921016526
VE2_D,0.2012356617163221
VE3_A,2.3089067198447575
VE3_D,2.4502439563501786
VR1_A,213.2202823843512
VR1_D,141.4314768889804
VR2_A,8.884178432681301
VR2_D,5.892978203707517
VR3_A,6.237794558255575
VR3_D,5.827284074875662
WPath,1319
Xc-3d,1.4326256854541919
Xc-4d,0.0
Xc-5d,0.3559047456524247
Xc-6d,0.0
Xp-0d,16.518297090128677
Xp-1d,11.720346690612278
Xp-2d,10.549277557358137
Xp-3d,9.132049465305654
Xp-4d,7.787261122849675
Xp-5d,6.594370588242871
Xp-6d,4.293030710642239
Xp-7d,3.179719494381921
ZMIC0,79.6174259509217
ZMIC1,54.380189386003984
ZMIC2,35.05593611601032
ZMIC3,27.457434553878752
ZMIC4,24.841729854592792
ZMIC5,24.531342912696825
nAcid,0
nAtom,45
nBase,1
nRing,4
piPC1,3.58351893845611
piPC2,4.143134726391533
piPC3,4.722953221644475
piPC4,5.2870036066477635
piPC5,5.833713644248232
piPC6,6.059123195581797
piPC7,6.479181459499541
piPC8,6.857973998819473
piPC9,7.144555156743833
AATS0Z,21.155555555555555
AATS0d,3.3555555555555556
AATS0i,160.851761967594
AATS0m,83.35946471111109
AATS0p,1.5419572222628661
AATS0s,3.331481481481482
AATS0v,223.76511032590088
AATS1Z,24.145833333333332
AATS1d,4.041666666666667
AATS1i,145.93750901123533
AATS1m,91.48090831250006
AATS1p,1.8591645520833342
AATS1s,2.863425925925926
AATS1v,268.2461517693999
AATS2Z,20.30952380952381
AATS2d,3.761904761904762
AATS2i,154.8041585002409
AATS2m,75.32091035714282
AATS2p,1.6239829323088446
AATS2s,2.69973544973545
AATS2v,229.08424530637882
AATS3Z,16.60909090909091
AATS3d,3.1818181818181817
AATS3i,155.91513115963573
AATS3m,59.65534045454545
AATS3p,1.4615443111262354
AATS3s,2.536363636363636
AATS3v,197.41369987547105
AATS4Z,13.768595041322314
AATS4d,2.8181818181818183
AATS4i,157.7328481385035
AATS4m,48.27610053719008
AATS4p,1.3199511930749919
AATS4s,2.3305785123966936
AATS4v,171.24924273236056
AATS5Z,13.956896551724139
AATS5d,2.75
AATS5i,159.69762612652903
AATS5m,49.69167573275862
AATS5p,1.2800389660962759
AATS5s,2.46647509578544
AATS5v,168.27429407911066
AATS6Z,15.388349514563107
AATS6d,2.8932038834951457
AATS6i,157.4462903672275
AATS6m,55.00681083495144
AATS6p,1.3532361642231066
AATS6s,2.6391585760517797
AATS6v,179.9872931875286
AATS7Z,14.727272727272727
AATS7d,2.787878787878788
AATS7i,158.7188878101407
AATS7m,52.06128376767678
AATS7p,1.326125942263949
AATS7s,2.5269360269360273
AATS7v,175.6000184312512
AATS8Z,12.77659574468085
AATS8d,2.5
AATS8i,159.65786083822007
AATS8m,42.77707907446809
AATS8p,1.2507069006706064
AATS8s,2.546099290780142
AATS8v,160.02398652820557
AMID_C,1.7377270757075571
AMID_N,0.2664541798757265
AMID_O,0.0746094223720507
AMID_X,0.0
AMID_h,0.34106360224777726
ATS0dv,296.0
ATS0pe,271.24839999999995
ATS0se,335.8546879999999
ATS1dv,319.0
ATS1pe,306.72100000000006
ATS1se,366.56045199999977
ATS2dv,448.0
ATS2pe,529.0931
ATS2se,641.6254799999995
ATS3dv,441.0
ATS3pe,670.0176000000002
ATS3se,824.9089279999998
ATS4dv,383.0
ATS4pe,710.9739999999997
ATS4se,888.9924599999997
ATS5dv,391.0
ATS5pe,681.4535000000001
ATS5se,854.6949800000002
ATS6dv,377.0
ATS6pe,618.9997000000002
ATS6se,768.437736
ATS7dv,282.0
ATS7pe,593.6595000000001
ATS7se,738.252156
ATS8dv,190.0
ATS8pe,565.2730000000001
ATS8se,704.9439720000001
ATSC0Z,309.7777777777778
ATSC0c,0.5904775128315947
ATSC0d,25.999999999999993
ATSC0i,69.06729191318654
ATSC0m,1484.0321239111113
ATSC0p,10.438535431819908
ATSC0s,39.46666666666666
ATSC0v,2329.226586415644
ATSC1Z,23.148148148148177
ATSC1c,-0.2601933235100739
ATSC1d,10.66666666666667
ATSC1i,-13.531238837003837
ATSC1m,109.2906494059261
ATSC1p,-0.3969184786660539
ATSC1s,-0.8922222222222213
ATSC1v,18.80818615358311
ATSC2Z,3.4814814814814845
ATSC2c,-0.06447312996965596
ATSC2d,-0.6666666666666701
ATSC2i,17.163822290629128
ATSC2m,21.468251143704038
ATSC2p,1.8821120604724817
ATSC2s,4.206666666666668
ATSC2v,303.2180007130187
ATSC3Z,-63.567901234567906
ATSC3c,0.03346692993191432
ATSC3d,-7.777777777777779
ATSC3i,6.384794364488722
ATSC3m,-303.529937693827
ATSC3p,-1.1744151138094228
ATSC3s,1.1777777777777783
ATSC3v,-335.35063978031695
ATSC4Z,-14.691358024691368
ATSC4c,-0.06812167385000018
ATSC4d,0.444444444444444
ATSC4i,-11.353442565102057
ATSC4m,-73.82483573876551
ATSC4p,-1.6352334953794716
ATSC4s,4.282222222222221
ATSC4v,-257.5584464071311
ATSC5Z,101.17283950617283
ATSC5c,-0.08943831711293744
ATSC5d,4.555555555555557
ATSC5i,4.886618737337674
ATSC5m,485.2849914513579
ATSC5p,2.1819535668284282
ATSC5s,5.521111111111112
ATSC5v,665.5014630677804
ATSC6Z,13.864197530864196
ATSC6c,0.3209376566289554
ATSC6d,-4.222222222222222
ATSC6i,-11.879929965288204
ATSC6m,59.85278242567911
ATSC6p,-1.1576907202978393
ATSC6s,0.8522222222222211
ATSC6v,-191.67354098910346
ATSC7Z,-26.666666666666657
ATSC7c,-0.05847802037511768
ATSC7d,-12.33333333333333
ATSC7i,-9.778477450593025
ATSC7m,-127.50318120444436
ATSC7p,-1.1884670273330262
ATSC7s,-3.7377777777777776
ATSC7v,-214.65599344690446
ATSC8Z,-196.35802469135803
ATSC8c,-0.23937943714169369
ATSC8d,-8.88888888888889
ATSC8i,-20.07047347282977
ATSC8m,-936.6364539254321
ATSC8p,-4.454598928839436
ATSC8s,-22.14333333333333
ATSC8v,-1219.5286516603899
AXp-0d,0.6882623787553616
AXp-1d,0.4340869144671214
AXp-2d,0.2776125672988983
AXp-3d,0.17561633587126257
AXp-4d,0.11124658746928108
AXp-5d,0.07409405155329069
AXp-6d,0.04717616165540922
AXp-7d,0.030283042803637344
GATS1Z,0.8107962697274029
GATS1c,1.532527628914798
GATS1d,0.669871794871795
GATS1i,1.3372604978795113
GATS1m,0.8147503041275735
GATS1p,1.0392444407896817
GATS1s,0.5558194913663664
GATS1v,0.9515926060969936
GATS2Z,0.9384607501537198
GATS2c,1.4244328919201414
GATS2d,1.2490842490842495
GATS2i,1.0070156291195813
GATS2m,0.9361111179547805
GATS2p,0.8533311499030486
GATS2s,0.5434228871728872
GATS2v,0.8621236259553081
GATS3Z,1.03428981348637
GATS3c,1.0504103458026541
GATS3d,1.2461538461538466
GATS3i,1.0039002984836933
GATS3m,1.034504431315097
GATS3p,1.0232580560380553
GATS3s,0.8037725225225224
GATS3v,1.023627270936681
GATS4Z,0.9731316029737836
GATS4c,0.8702706059469426
GATS4d,0.9930069930069934
GATS4i,1.018550432454585
GATS4m,0.9763107833785197
GATS4p,1.0573983961143063
GATS4s,0.7431152743652744
GATS4v,1.0397876963673853
GATS5Z,0.8571216543808439
GATS5c,0.9469200672725762
GATS5d,0.9045092838196289
GATS5i,0.9101848348755975
GATS5m,0.8573602351832054
GATS5p,0.9124469132609488
GATS5s,1.042382630475303
GATS5v,0.8843866226386042
GATS6Z,0.9549595353177974
GATS6c,0.7219521958301692
GATS6d,1.0761762509335329
GATS6i,1.0521121924782244
GATS6m,0.9563714985706435
GATS6p,1.0352829299367123
GATS6s,1.186423073558996
GATS6v,1.013340391532329
GATS7Z,1.0179340028694404
GATS7c,1.1271006737131466
GATS7d,1.2478632478632483
GATS7i,1.0535316472854461
GATS7m,1.0171464592316566
GATS7p,1.025146620909815
GATS7s,1.1178365865865867
GATS7v,1.0115444551580997
GATS8Z,1.300245733996764
GATS8c,1.2927152795417254
GATS8d,1.017184942716858
GATS8i,1.1136933343231454
GATS8m,1.2959231609270494
GATS8p,1.1664766028217164
GATS8s,1.7485653871957063
GATS8v,1.2052569782285065
MATS1Z,0.07005469870875186
MATS1c,-0.4131084342584676
MATS1d,0.38461538461538486
MATS1i,-0.18366923124242454
MATS1m,0.06904162124740687
MATS1p,-0.0356478239864105
MATS1s,-0.021194045608108086
MATS1v,0.007570184292855082
MATS2Z,0.006020700963312159
MATS2c,-0.058493636114656224
MATS2d,-0.01373626373626381
MATS2i,0.13312965578712374
MATS2m,0.0077497303742147085
MATS2p,0.09659155009779666
MATS2s,0.05710062741312743
MATS2v,0.06973912096618236
MATS3Z,-0.08394743706795356
MATS3c,0.02318634747777989
MATS3d,-0.12237762237762244
MATS3i,0.03781763058279864
MATS3m,-0.08367159722946277
MATS3p,-0.046025857716961105
MATS3s,0.012208230958230966
MATS3v,-0.05889890613993999
MATS4Z,-0.017637573069945584
MATS4c,-0.042905117050485414
MATS4d,0.006357279084551806
MATS4i,-0.06113392542274695
MATS4m,-0.018500622042567274
MATS4p,-0.05825957983631035
MATS4s,0.040352077283895456
MATS4v,-0.04112360713881164
MATS5Z,0.12669754613367631
MATS5c,-0.058759051997826335
MATS5d,0.06797082228116715
MATS5i,0.027446726364789006
MATS5m,0.1268551439820166
MATS5p,0.08108872263755139
MATS5s,0.054268843196644934
MATS5v,0.11083879624393227
MATS6Z,0.019553286623671486
MATS6c,0.2374611699928954
MATS6d,-0.07094846900672146
MATS6i,-0.07514788144539025
MATS6m,0.017620423071692856
MATS6p,-0.0484538478793986
MATS6s,0.009434039622146407
MATS6v,-0.035952220325326696
MATS7Z,-0.03912873353332461
MATS7c,-0.04501597059108862
MATS7d,-0.21561771561771562
MATS7i,-0.06435408649189671
MATS7m,-0.039053057223468156
MATS7p,-0.05175173171368851
MATS7s,-0.04304873054873055
MATS7v,-0.041889830161340104
MATS8Z,-0.3034471442962239
MATS8c,-0.19407434926294465
MATS8d,-0.16366612111292966
MATS8i,-0.13911368347851377
MATS8m,-0.3021429149330667
MATS8p,-0.20429310009386234
MATS8s,-0.2685945586543991
MATS8v,-0.2506483959588381
NddssS,0
NdssSe,0
NdsssP,0
NsAsH2,0
NsGeH3,0
NsPbH3,0
NsSiH3,0
NsSnH3,0
NssAsH,0
NssCH2,4
NssNH2,0
NsssAs,0
NsssCH,0
NsssNH,0
NssssB,0
NssssC,0
NssssN,0
Radius,6
SM1_Dt,0.0
SddssS,0
SdssSe,0
SdsssP,0
SpAD_A,31.983065944411287
SpAD_D,226.93621147500107
SsAsH2,0
SsGeH3,0
SsPbH3,0
SsSiH3,0
SsSnH3,0
SssAsH,0
SssCH2,4.15415737938375
SssNH2,0
SsssAs,0
SsssCH,0
SsssNH,0
SssssB,0
SssssC,0
SssssN,0
TMPC10,849
TMWC10,126.70426331977104
TSRW10,73.08365252891846
VE1_Dt,4.845353884495955
VE2_Dt,0.20188974518733147
VE3_Dt,2.4534890212048883
VR1_Dt,139.04332265641278
VR2_Dt,5.793471777350533
VR3_Dt,5.810254295711549
Xc-3dv,0.7508306396491846
Xc-4dv,0.0
Xc-5dv,0.1101894933053783
Xc-6dv,0.0
Xch-3d,0.0
Xch-4d,0.0
Xch-5d,0.07856742013183861
Xch-6d,0.4952340867985053
Xch-7d,0.7406822627797401
Xp-0dv,13.827255028916605
Xp-1dv,8.371906410118097
Xp-2dv,6.406860438757788
Xp-3dv,4.790619842017412
Xp-4dv,3.3826654758814425
Xp-5dv,2.436534179999846
Xp-6dv,1.3301556905494538
Xp-7dv,0.8151370193902107
Xpc-4d,3.5834241372132145
Xpc-5d,5.913450647226501
Xpc-6d,9.200258549375393
n3Ring,0
n4Ring,0
n5Ring,1
n6Ring,3
n7Ring,0
n8Ring,0
n9Ring,0
nARing,2
nBonds,48
nFRing,1
nHBAcc,3
nHBDon,1
nHRing,2
nSpiro,0
naRing,2
piPC10,7.439889748069375
AATS0dv,6.5777777777777775
AATS0pe,6.027742222222221
AATS0se,7.463437511111109
AATS1dv,6.645833333333333
AATS1pe,6.390020833333335
AATS1se,7.636676083333328
AATS2dv,5.333333333333333
AATS2pe,6.298727380952381
AATS2se,7.638398571428565
AATS3dv,4.009090909090909
AATS3pe,6.091069090909093
AATS3se,7.499172072727271
AATS4dv,3.165289256198347
AATS4pe,5.875818181818179
AATS4se,7.347045123966939
AATS5dv,3.3706896551724137
AATS5pe,5.874599137931035
AATS5se,7.368060172413795
AATS6dv,3.6601941747572817
AATS6pe,6.009705825242721
AATS6se,7.46056054368932
AATS7dv,2.8484848484848486
AATS7pe,5.996560606060607
AATS7se,7.457092484848485
AATS8dv,2.021276595744681
AATS8pe,6.013542553191491
AATS8se,7.49940395744681
AATSC0Z,6.8839506172839515
AATSC0c,0.01312172250736877
AATSC0d,0.5777777777777776
AATSC0i,1.534828709181923
AATSC0m,32.97849164246914
AATSC0p,0.2319674540404424
AATSC0s,0.877037037037037
AATSC0v,51.76059080923653
AATSC1Z,0.4822530864197537
AATSC1c,-0.005420694239793206
AATSC1d,0.2222222222222223
AATSC1i,-0.2819008091042466
AATSC1m,2.2768885292901273
AATSC1p,-0.008269134972209456
AATSC1s,-0.01858796296296294
AATSC1v,0.3918372115329815
AATSC2Z,0.04144620811287482
AATSC2c,-0.0007675372615435233
AATSC2d,-0.007936507936507978
AATSC2i,0.20433121774558485
AATSC2m,0.255574418377429
AATSC2p,0.022406095958005735
AATSC2s,0.05007936507936509
AATSC2v,3.609738103726413
AATSC3Z,-0.5778900112233446
AATSC3c,0.0003042448175628575
AATSC3d,-0.07070707070707072
AATSC3i,0.058043585131715654
AATSC3m,-2.759363069943882
AATSC3p,-0.010676501034631115
AATSC3s,0.010707070707070712
AATSC3v,-3.048642179821063
AATSC4Z,-0.12141618202224272
AATSC4c,-0.000562989040082646
AATSC4d,0.0036730945821854873
AATSC4i,-0.09383010384381865
AATSC4m,-0.6101226094112853
AATSC4p,-0.013514326408094806
AATSC4s,0.035390266299357195
AATSC4v,-2.1285822017118274
AATSC5Z,0.872179650915283
AATSC5c,-0.0007710199751115297
AATSC5d,0.03927203065134101
AATSC5i,0.042126023597738566
AATSC5m,4.183491305615155
AATSC5p,0.018809944541624383
AATSC5s,0.047595785440613034
