DLiP-ID,C001QT
DLiP-Mol-ID,32786
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N2OS2/c19-15(9-8-13-7-4-10-20-13)18-16-17-14(11-21-16)12-5-2-1-3-6-12/h1-11H,(H,17,18,19)/b9-8+"
Standard Inchi Key(RDKit),GKMFFJPZQOIGPL-CMDGGOBGSA-N
Canonical SMILES(RDKit),O=C(/C=C/c1cccs1)Nc1nc(-c2ccccc2)cs1
SMILES(SDF),
MW(SDF),
MW(RDKit),312.419
MW Monoisotopic(RDKit),312.039105004
MolLogP(RDKit),4.5235
XLogP(SDF),
XLogP(CDK),3.163
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),41.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.719486485037002
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,131643.31121792312
qed,0.7194864850370022
Chi0,14.493353063746348
Chi1,10.309663088089316
TPSA,41.99
Chi0n,11.022811427977434
Chi0v,12.655804589832886
Chi1n,6.346374692888995
Chi1v,8.105680315398784
Chi2n,4.241927719098305
Chi2v,6.079302879118781
Chi3n,2.7460278658543587
Chi3v,4.341297590362467
Chi4n,1.763629920968521
Chi4v,3.1042616189916354
MolMR,89.53270000000002
MolWt,312.41900000000004
fr_SH,0
Kappa1,13.72979518193057
Kappa2,6.4736924980690835
Kappa3,3.650865656462663
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,745.7020645687656
MolLogP,4.523500000000002
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6586239660736324
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,64.17786232069828
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,130.16257364805193
NHOHCount,1
PEOE_VSA1,0.0
PEOE_VSA2,10.111325788078153
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,22.673571755869474
PEOE_VSA6,36.39820241076966
PEOE_VSA7,17.522449945761405
PEOE_VSA8,21.89668156269809
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,39.788330071894194
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,312.039105004
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,5.131558479839333
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,10.891158250298714
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,4.877147193701299
SlogP_VSA6,59.30071512699698
SlogP_VSA7,0.0
SlogP_VSA8,17.333399593379337
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,5.131558479839333
EState_VSA4,16.134526680246754
EState_VSA5,17.412805984768617
EState_VSA6,17.412805984768617
