DLiP-ID,T006ZF
DLiP-Mol-ID,24807
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H23N3O6/c26-23(27)17-6-9-19(10-7-17)32-14-20-15-33-21-11-8-18(12-22(21)34-20)28(24(29)25(30)31)13-16-4-2-1-3-5-16/h1-12,20H,13-15H2,(H3,26,27)(H,30,31)/t20-/m1/s1"
Standard Inchi Key(RDKit),WINLUFCVTCWULP-HXUWFJFHSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(OC[C@@H]2COc3ccc(N(Cc4ccccc4)C(=O)C(=O)O)cc3O2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),461.474
MW Monoisotopic(RDKit),461.158685456
MolLogP(RDKit),2.80727
XLogP(SDF),
XLogP(CDK),1.08
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),135.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.279670298229767
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,49229938.57691662
qed,0.27967029822976697
Chi0,24.07877502244374
Chi1,16.40188724096433
TPSA,135.17000000000002
Chi0n,18.13989275553364
Chi0v,18.13989275553364
Chi1n,10.499531200408851
Chi1v,10.499531200408851
Chi2n,7.613007329276719
Chi2v,7.613007329276719
Chi3n,5.170163856245567
Chi3v,5.170163856245567
Chi4n,3.4361069748344737
Chi4v,3.4361069748344737
MolMR,124.57390000000004
MolWt,461.47400000000016
fr_SH,0
Kappa1,22.656378575603984
Kappa2,9.94854207501511
Kappa3,5.263645165677414
fr_ArN,1
fr_COO,1
fr_C_O,2
