DLiP-ID,T003YM
DLiP-Mol-ID,21021
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H25N3O5/c1-16-5-2-3-8-21(16)28-25(33)27-19-11-9-17(10-12-19)13-23(30)26-20-7-4-6-18(14-20)22(29)15-24(31)32/h2-12,14,22,29H,13,15H2,1H3,(H,26,30)(H,31,32)(H2,27,28,33)"
Standard Inchi Key(RDKit),MRJJMYJMXUSYKQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1NC(=O)Nc1ccc(CC(=O)Nc2cccc(C(O)CC(=O)O)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),447.491
MW Monoisotopic(RDKit),447.1794209
MolLogP(RDKit),4.32832
XLogP(SDF),
XLogP(CDK),2.323
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),127.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.351191089500114
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,18440944.475509737
qed,0.3511910895001139
Chi0,23.794317972067567
Chi1,15.795734091081686
TPSA,127.76
Chi0n,18.03893912422974
Chi0v,18.03893912422974
Chi1n,10.321846399312896
Chi1v,10.321846399312896
Chi2n,7.5550452060953175
Chi2v,7.5550452060953175
Chi3n,4.892880368307013
Chi3v,4.892880368307013
Chi4n,3.2012622731356983
Chi4v,3.2012622731356983
MolMR,126.25070000000002
MolWt,447.49100000000016
fr_SH,0
Kappa1,23.492217096906657
Kappa2,10.92089930821858
