DLiP-ID,J000MR
DLiP-Mol-ID,27625
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15F4N3O2/c1-19(29,11-27-7-6-12-2-4-14(21)8-17(12)27)18(28)26-15-5-3-13(10-25)16(9-15)20(22,23)24/h2-9,29H,11H2,1H3,(H,26,28)/t19-/m0/s1"
Standard Inchi Key(RDKit),ZNXLICZXDMCRBT-IBGZPJMESA-N
Canonical SMILES(RDKit),C[C@](O)(Cn1ccc2ccc(F)cc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),405.351
MW Monoisotopic(RDKit),405.1100396
MolLogP(RDKit),4.06058
XLogP(SDF),
XLogP(CDK),3.53
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),78.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.642902549275234
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,AR/unknown partner
Common Target Pref Name,AR/unknown partner
RDKit Descriptors
Ipc,2209001.726531689
qed,0.6429025492752337
Chi0,21.396976746569035
Chi1,13.508187045842785
TPSA,78.05000000000001
Chi0n,15.087655903704201
Chi0v,15.087655903704201
Chi1n,8.406929742210913
Chi1v,8.406929742210913
Chi2n,6.744680681487682
Chi2v,6.744680681487682
Chi3n,4.406630517401059
Chi3v,4.406630517401059
Chi4n,2.9182176758944927
Chi4v,2.9182176758944927
MolMR,97.30850000000002
MolWt,405.35100000000006
fr_SH,0
Kappa1,20.35672332854961
Kappa2,7.218991204308982
Kappa3,4.222501943791672
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1126.9372291945697
MolLogP,4.0605800000000025
NOCount,5
