DLiP-ID,I000BO
DLiP-Mol-ID,28161
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23N3O3/c1-2-24-16-19(18-10-6-7-11-20(18)24)21(27)23(29)26-14-12-25(13-15-26)22(28)17-8-4-3-5-9-17/h3-11,16H,2,12-15H2,1H3"
Standard Inchi Key(RDKit),FRGJEKCSHYOZQT-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCn1cc(C(=O)C(=O)N2CCN(C(=O)c3ccccc3)CC2)c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),389.455
MW Monoisotopic(RDKit),389.173941596
MolLogP(RDKit),2.8285
XLogP(SDF),
XLogP(CDK),3.13
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),62.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.509202848414053
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,6497911.19302246
qed,0.5092028484140529
Chi0,20.38010440969447
Chi1,14.096555450524589
TPSA,62.620000000000005
Chi0n,16.375422255720466
Chi0v,16.375422255720466
Chi1n,9.856346336271027
Chi1v,9.856346336271027
Chi2n,7.125489914003045
Chi2v,7.125489914003045
Chi3n,5.4429786854020215
Chi3v,5.4429786854020215
Chi4n,3.824088071132721
Chi4v,3.824088071132721
MolMR,110.86800000000004
MolWt,389.4550000000001
fr_SH,0
Kappa1,18.930366956651316
Kappa2,7.9110944540936785
Kappa3,3.5338183350619228
fr_ArN,0
fr_COO,0
