DLiP-ID,C002WT
DLiP-Mol-ID,32951
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H24N6O4/c1-16-3-2-6-31-23(16)28-24(19(25(31)33)12-18(13-26)22(27)32)30-9-7-29(8-10-30)14-17-4-5-20-21(11-17)35-15-34-20/h2-6,11-12H,7-10,14-15H2,1H3,(H2,27,32)/b18-12+"
Standard Inchi Key(RDKit),UFNOGMROBMXWCI-LDADJPATSA-N
Canonical SMILES(RDKit),Cc1cccn2c(=O)c(/C=C(\C#N)C(N)=O)c(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc12
SMILES(SDF),
MW(SDF),
MW(RDKit),472.505
MW Monoisotopic(RDKit),472.185903248
MolLogP(RDKit),1.4461
XLogP(SDF),
XLogP(CDK),2.059
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),126.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.436786977646697
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,122594521.56594145
qed,0.43678697764669705
Chi0,24.526368779636435
Chi1,16.939892043425118
TPSA,126.18999999999998
Chi0n,19.230503979991532
Chi0v,19.230503979991532
Chi1n,11.237779823800352
Chi1v,11.237779823800352
Chi2n,8.52392420346867
Chi2v,8.52392420346867
Chi3n,6.253741159290405
Chi3v,6.253741159290405
Chi4n,4.385912238556767
Chi4v,4.385912238556767
MolMR,129.03840000000002
MolWt,472.50500000000034
fr_SH,0
Kappa1,22.433105195504808
Kappa2,9.11699589783528
Kappa3,4.29143566001669
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1446.8131101191418
MolLogP,1.4460999999999995
NOCount,10
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4366890446285507
SMR_VSA1,14.268263091671919
SMR_VSA2,5.261891554738487
SMR_VSA3,14.28458285805948
SMR_VSA4,5.733667477162185
SMR_VSA5,13.4684936056032
SMR_VSA6,37.87187766060061
SMR_VSA7,69.14594199820522
SMR_VSA8,0.0
SMR_VSA9,17.568244979360085
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,200.95216355876158
NHOHCount,2
PEOE_VSA1,20.107303115612762
PEOE_VSA2,18.889678705255914
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,5.261891554738487
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,42.325761495303325
PEOE_VSA8,38.92062560117595
PEOE_VSA9,5.563451491696996
RingCount,5
SMR_VSA10,23.448239834788144
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
