DLiP-ID,I0006I
DLiP-Mol-ID,27947
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H15FN6O2/c1-27-20-15(10-24-27)18-16(17(25-20)11-4-2-5-12(8-11)19(23)29)21(30)28(26-18)14-7-3-6-13(22)9-14/h2-10,26H,1H3,(H2,23,29)"
Standard Inchi Key(RDKit),CLYOOMMYYGDKEO-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cn1ncc2c3[nH]n(-c4cccc(F)c4)c(=O)c3c(-c3cccc(C(N)=O)c3)nc21
SMILES(SDF),
MW(SDF),
MW(RDKit),402.389
MW Monoisotopic(RDKit),402.12405194
MolLogP(RDKit),2.5055
XLogP(SDF),
XLogP(CDK),3.549
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),111.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.482863713086904
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD80_CD28
Common Target Pref Name,CD80/CD28
RDKit Descriptors
Ipc,10734212.261032555
qed,0.48286371308690357
Chi0,20.990834873703708
Chi1,14.435560745775549
TPSA,111.58999999999999
Chi0n,15.756818127833046
Chi0v,15.756818127833046
Chi1n,9.064368477996933
Chi1v,9.064368477996933
Chi2n,6.893161052011494
Chi2v,6.893161052011494
