DLiP-ID,T003C1
DLiP-Mol-ID,20055
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H12Cl2N2O3/c15-9-1-3-10(4-2-9)18-13(19)11(16)12(14(18)20)17-5-7-21-8-6-17/h1-4H,5-8H2"
Standard Inchi Key(RDKit),KVGMCFLDNDDAHI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),327.167
MW Monoisotopic(RDKit),326.022497604
MolLogP(RDKit),1.9958
XLogP(SDF),
XLogP(CDK),2.485
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),49.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.779837274079112
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rad51/BRCA2
Common Target Pref Name,Rad51/BRCA2
RDKit Descriptors
Ipc,81298.68067059487
qed,0.7798372740791119
Chi0,14.982763184195939
Chi1,10.092224152875016
TPSA,49.85
Chi0n,11.012929209914654
Chi0v,12.524787101951565
Chi1n,6.461812960742227
Chi1v,7.217741906760682
Chi2n,4.6841417346422505
Chi2v,5.498541988123464
Chi3n,3.416565265318607
Chi3v,4.009215224837148
Chi4n,2.3771684937601205
Chi4v,2.788028488063102
MolMR,79.21600000000004
MolWt,327.16700000000003
fr_SH,0
Kappa1,14.380319391846736
Kappa2,5.673993098045311
Kappa3,2.523576314427123
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,621.6112201580773
MolLogP,1.9958
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.917857428816723
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,31.203186471701464
SMR_VSA7,40.017427252757194
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.21246391919163
NHOHCount,0
PEOE_VSA1,9.636772684650527
