DLiP-ID,J000DF
DLiP-Mol-ID,27232
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H10N2OS/c14-9-3-1-8(2-4-9)10-7-13-5-6-15-11(13)12-10/h1-4,7,14H,5-6H2"
Standard Inchi Key(RDKit),ZAKNXVYBQHMJDW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1ccc(-c2cn3c(n2)SCC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),218.281
MW Monoisotopic(RDKit),218.05138394
MolLogP(RDKit),2.3614
XLogP(SDF),
XLogP(CDK),2.601
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),38.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.798134967377051
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,6000.283229688675
qed,0.7981349673770509
Chi0,10.25071237662706
Chi1,7.3264998404949235
TPSA,38.05
Chi0n,8.050853985284963
Chi0v,8.86735056621269
Chi1n,4.821695466231391
Chi1v,5.80729402588488
Chi2n,3.497447488967949
Chi2v,4.559519285696735
Chi3n,2.466338865175962
Chi3v,3.437031879120163
Chi4n,1.6808969329074
Chi4v,2.6241668692360034
MolMR,60.05180000000003
MolWt,218.28099999999998
fr_SH,0
Kappa1,8.85372738493279
Kappa2,3.308642810014742
Kappa3,1.5058337072538295
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,468.28907064680715
MolLogP,2.3613999999999997
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.018804663358592
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,11.701192887733281
SMR_VSA6,5.752853606746789
SMR_VSA7,30.462311845459517
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,91.76867406694237
NHOHCount,1
PEOE_VSA1,9.67362704263206
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.761884949391115
PEOE_VSA7,24.26546827384644
PEOE_VSA8,24.057905075969437
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,11.761884949391115
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,218.05138394
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,5.156436481820707
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,20.410459170326057
SlogP_VSA3,6.544756405912575
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,35.61874832728022
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,5.749511833283905
EState_VSA4,28.71142598102553
EState_VSA5,0.0
EState_VSA6,23.894619086314336
EState_VSA7,12.13273413692322
EState_VSA8,15.74792174035164
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.761884949391115
