DLiP-ID,T006QI
DLiP-Mol-ID,24422
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H24N4O4/c18-17(19)20-7-2-1-3-9-25-13-4-5-14-12(10-13)6-8-21(16(14)24)11-15(22)23/h4-5,10H,1-3,6-9,11H2,(H,22,23)(H4,18,19,20)"
Standard Inchi Key(RDKit),VPOMUJIKJROXPC-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)NCCCCCOc1ccc2c(c1)CCN(CC(=O)O)C2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),348.403
MW Monoisotopic(RDKit),348.179755248
MolLogP(RDKit),0.80167
XLogP(SDF),
XLogP(CDK),-0.773
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),128.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.29677032215294
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,324370.2580590314
qed,0.29677032215293964
Chi0,18.233840039752504
Chi1,11.969234250586762
TPSA,128.74
Chi0n,14.085427388642392
Chi0v,14.085427388642392
Chi1n,8.318085875911462
Chi1v,8.318085875911462
Chi2n,5.938973436471367
Chi2v,5.938973436471367
Chi3n,3.9768024808466707
Chi3v,3.9768024808466707
Chi4n,2.7336948257133598
Chi4v,2.7336948257133598
MolMR,92.94810000000004
MolWt,348.40300000000013
fr_SH,0
Kappa1,18.566969817815036
Kappa2,8.908360657384929
Kappa3,5.663990160257806
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,647.5350596316422
MolLogP,0.801669999999999
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7874768006684645
SMR_VSA1,19.4324647167844
SMR_VSA2,5.409283605791522
SMR_VSA3,10.216698334856808
SMR_VSA4,5.733667477162185
SMR_VSA5,25.683286491704038
SMR_VSA6,26.241151182250643
SMR_VSA7,29.32600418877882
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
