DLiP-ID,T002SF
DLiP-Mol-ID,19216
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H19N5O5/c17-15(18)10-1-3-11(4-2-10)16(26)19-7-12(22)20-5-6-21(9-14(24)25)13(23)8-20/h1-4H,5-9H2,(H3,17,18)(H,19,26)(H,24,25)"
Standard Inchi Key(RDKit),JFXCXKARPDXSFP-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(C(=O)NCC(=O)N2CCN(CC(=O)O)C(=O)C2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),361.358
MW Monoisotopic(RDKit),361.138618708
MolLogP(RDKit),-1.54413
XLogP(SDF),
XLogP(CDK),-3.329
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),156.89
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.355006171101062
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,466516.75918186136
qed,0.35500617110106214
Chi0,19.267220234572108
Chi1,12.273764703227071
TPSA,156.88999999999996
Chi0n,13.896919200236196
Chi0v,13.896919200236196
Chi1n,7.776483940258842
Chi1v,7.776483940258842
Chi2n,5.698029058330131
Chi2v,5.698029058330131
Chi3n,3.855752845900466
Chi3v,3.855752845900466
Chi4n,2.422754690455584
Chi4v,2.422754690455584
MolMR,90.5871
MolWt,361.35800000000006
fr_SH,0
Kappa1,18.90221437187165
Kappa2,8.098713693100702
Kappa3,4.786366250975364
fr_ArN,1
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,745.9022867718784
MolLogP,-1.5441299999999964
NOCount,10
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.8446798370129647
SMR_VSA1,24.284676131127995
SMR_VSA2,5.409283605791522
SMR_VSA3,15.116608065707286
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
SMR_VSA6,32.72378202956288
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,148.6100864825972
NHOHCount,5
PEOE_VSA1,25.95680293771018
PEOE_VSA2,24.587432342078806
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,12.13273413692322
PEOE_VSA8,24.21641579521914
PEOE_VSA9,13.08951281182515
RingCount,2
SMR_VSA10,29.526464261763635
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,361.13861870799997
NumHDonors,4
PEOE_VSA10,12.380376191669844
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,11.050456081168516
SlogP_VSA2,77.15659314786818
SlogP_VSA3,14.383611552215466
SlogP_VSA4,5.409283605791522
SlogP_VSA5,15.921440167465814
SlogP_VSA6,24.26546827384644
