DLiP-ID,C000GL
DLiP-Mol-ID,30784
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)"
Standard Inchi Key(RDKit),DQMZLTXERSFNPB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC1(c2ccccc2)C(=O)NCNC1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),218.256
MW Monoisotopic(RDKit),218.105527688
MolLogP(RDKit),0.537899999999999
XLogP(SDF),
XLogP(CDK),1.574
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.711644839176065
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5356.941098043583
qed,0.7116448391760646
Chi0,11.596011838247808
Chi1,7.714379275798965
TPSA,58.2
Chi0n,9.117461489248951
Chi0v,9.117461489248951
Chi1n,5.336698845953192
Chi1v,5.336698845953192
Chi2n,3.8134872566213978
Chi2v,3.8134872566213978
Chi3n,3.0700477997819497
Chi3v,3.0700477997819497
Chi4n,2.119740124797372
Chi4v,2.119740124797372
MolMR,59.56340000000003
MolWt,218.25599999999994
fr_SH,0
Kappa1,10.670299983987857
Kappa2,3.9626300355797675
Kappa3,1.3773138680608406
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,398.28675391292165
MolLogP,0.5378999999999999
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.524396870109536
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,18.759549292013414
SMR_VSA6,6.6686911888991425
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,94.03799321965101
NHOHCount,2
PEOE_VSA1,10.633577208012662
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,37.255572541998674
PEOE_VSA7,11.984273114623004
PEOE_VSA8,0.0
PEOE_VSA9,6.6686911888991425
RingCount,2
SMR_VSA10,11.814359458703011
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,218.105527688
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.41499046939678
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,18.483050647602152
SlogP_VSA3,15.004064837540422
SlogP_VSA4,0.0
SlogP_VSA5,18.90801031431363
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.41499046939678
EState_VSA2,18.483050647602152
EState_VSA3,6.4208216229260096
EState_VSA4,5.563451491696996
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,37.255572541998674
EState_VSA8,10.633577208012662
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,40.25
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.3333333333333333
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.84
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,16
HeavyAtomMolWt,204.14399999999998
MaxEStateIndex,11.986207482993198
MinEStateIndex,-1.0699305555555556
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.125
FpDensityMorgan2,1.6875
FpDensityMorgan3,2.1875
MaxPartialCharge,0.24107687820318055
MinPartialCharge,-0.33746571961989924
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.986207482993198
MinAbsEStateIndex,0.21453396636432354
NumAliphaticRings,1
NumRotatableBonds,2
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.33746571961989924
MinAbsPartialCharge,0.24107687820318055
NumRadicalElectrons,0
NumValenceElectrons,84
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,218.105527688
MZ,0.6444444444444446
Mi,1.130242539423165
Mm,0.6057114311880774
Mp,0.6622575249501002
Mv,0.6246106655811111
SZ,19.33333333333334
Si,33.90727618269495
Sm,18.171342935642322
Sp,19.867725748503005
Sv,18.738319967433334
nB,0
nC,12
nF,0
nH,14
nI,0
nN,2
nO,2
nP,0
nS,0
nX,0
ABC,12.054766209197734
AMW,7.270184256266666
IC0,1.5628066316931741
IC1,3.2111984154992896
IC2,3.802910079649727
IC3,4.1898980954642875
IC4,4.348394345536404
IC5,4.348394345536404
MID,32.07423123718272
Mpe,0.9720261437908497
Mse,1.0067492109735372
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,59.56340000000003
SdO,23.972414965986395
SdS,0
Spe,29.160784313725493
SsF,0
SsI,0
Sse,30.202476329206117
StN,0
fMF,0.4
nBr,0
nCl,0
AMID,2.00463945232392
BIC0,0.3022880663176314
BIC1,0.6211305608115061
BIC2,0.7355832199865155
BIC3,0.8104369201285095
BIC4,0.8410942797667825
BIC5,0.8410942797667825
CIC0,3.3440839639153443
CIC1,1.695692180109229
CIC2,1.1039805159587917
CIC3,0.7169925001442312
CIC4,0.5584962500721149
CIC5,0.5584962500721149
GGI1,3.5
GGI2,2.8888888888888897
GGI3,2.0625
GGI4,0.8133333333333335
GGI5,0.3472222222222222
GGI6,0.19836734693877553
GGI7,0.0
GGI8,0.0
GGI9,0.0
JGI1,0.20588235294117646
JGI2,0.12037037037037042
JGI3,0.0711206896551724
JGI4,0.03128205128205128
JGI5,0.021701388888888888
JGI6,0.028338192419825076
JGI7,0.0
JGI8,0.0
JGI9,0.0
MIC0,14.683636867370474
MIC1,27.13179027228005
MIC2,30.24233052820781
MIC3,32.37634868769238
MIC4,32.536112907765066
MIC5,32.536112907765066
MPC2,24
MPC3,35
MPC4,43
MPC5,44
MPC6,37
MPC7,34
MPC8,28
MPC9,16
Mare,0.9858666666666664
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.206051120842761
RPCG,0.14719765023537526
SIC0,0.31849225109926577
SIC1,0.6544263323036366
SIC2,0.7750142387631768
SIC3,0.8538804796695666
SIC4,0.8861812304166822
SIC5,0.8861812304166822
SaaN,0
SaaO,0
SaaS,0
Sare,29.575999999999993
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,46.88419895079522
TIC1,96.33595246497869
TIC2,114.08730238949181
TIC3,125.69694286392863
TIC4,130.4518303660921
TIC5,130.4518303660921
Vabc,206.88704409825763
WPol,29
apol,33.17910199999998
bpol,16.920897999999998
nRot,2
ABCGG,11.041832437555593
ATS0Z,672.0
ATS0d,96.0
