DLiP-ID,C0016J
DLiP-Mol-ID,31913
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H12ClNO2/c1-7(2)15-11-10(14)12(16)8-5-3-4-6-9(8)13(11)17/h3-7,16H,1-2H3/b15-11-"
Standard Inchi Key(RDKit),LWWDHCWUGFVCRN-PTNGSMBKSA-N
Canonical SMILES(RDKit),CC(C)/N=C1\C(=O)c2ccccc2C(O)=C1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),249.697
MW Monoisotopic(RDKit),249.055656304
MolLogP(RDKit),3.1977
XLogP(SDF),
XLogP(CDK),3.093
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),49.66
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.830959293219087
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6837.428501507909
qed,0.8309592932190869
Chi0,12.576985790260121
Chi1,8.01974450780358
TPSA,49.66
Chi0n,9.567391300421136
Chi0v,10.323320246439591
Chi1n,5.330569674552542
Chi1v,5.70853414756177
Chi2n,4.108751252776742
Chi2v,4.486715725785969
Chi3n,2.4449955848087446
Chi3v,2.8030086722590615
Chi4n,1.7187350523295
Chi4v,1.9551514842787547
MolMR,68.74530000000003
MolWt,249.697
fr_SH,0
Kappa1,11.863212248275616
