DLiP-ID,C002EJ
DLiP-Mol-ID,30630
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21N3O5S/c1-12(2)11-23-15-9-5-3-7-13(15)18(24)17(20(23)26)19(25)22-14-8-4-6-10-16(14)29(21,27)28/h3-10,12,24H,11H2,1-2H3,(H,22,25)(H2,21,27,28)"
Standard Inchi Key(RDKit),MLWAJOFPYWTUTE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)Cn1c(=O)c(C(=O)Nc2ccccc2S(N)(=O)=O)c(O)c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),415.471
MW Monoisotopic(RDKit),415.120191772
MolLogP(RDKit),2.2628
XLogP(SDF),
XLogP(CDK),4.197
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),131.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.588103906476307
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,2060786.6581539167
qed,0.5881039064763072
Chi0,21.34457050376173
Chi1,13.608079470920517
TPSA,131.48999999999998
Chi0n,15.91627811640204
Chi0v,16.732774697329766
Chi1n,8.886105555913783
Chi1v,10.432425033835347
Chi2n,7.045653452505807
Chi2v,8.57549839480981
Chi3n,4.362357857062324
Chi3v,5.331404473446255
Chi4n,3.1434649216582837
Chi4v,3.83730861612616
MolMR,110.47920000000002
MolWt,415.4710000000002
fr_SH,0
Kappa1,20.561340853539576
Kappa2,7.686500423651458
