DLiP-ID,T007LF
DLiP-Mol-ID,25742
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14N2O2/c1-2-18-13(17)8-10-16-11-9-15-14(16)12-6-4-3-5-7-12/h3-11H,2H2,1H3"
Standard Inchi Key(RDKit),YFKXFOCASJBSEU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)C=Cn1ccnc1-c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),242.278
MW Monoisotopic(RDKit),242.105527688
MolLogP(RDKit),2.5839
XLogP(SDF),
XLogP(CDK),2.788
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),44.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.611089840795067
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CRM1/Rev
Common Target Pref Name,CRM1/Rev
RDKit Descriptors
Ipc,20199.54138152207
qed,0.6110898407950671
Chi0,12.794682450997078
Chi1,8.808861750289882
TPSA,44.120000000000005
Chi0n,10.114182975820825
Chi0v,10.114182975820825
Chi1n,5.741865874771103
Chi1v,5.741865874771103
Chi2n,3.5919302924428393
Chi2v,3.5919302924428393
Chi3n,2.3584630922120455
Chi3v,2.3584630922120455
Chi4n,1.575678429182822
Chi4v,1.575678429182822
MolMR,69.62600000000002
MolWt,242.27800000000002
fr_SH,0
Kappa1,12.106323039940829
Kappa2,5.816413911391583
Kappa3,2.852544582925813
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,543.9314516585836
MolLogP,2.5839000000000008
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.2116820202645617
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,6.606881964512918
SMR_VSA7,48.80154259236808
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,105.53745208346658
NHOHCount,0
PEOE_VSA1,9.303962601591405
PEOE_VSA2,0.0
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,6.923737199690624
PEOE_VSA8,30.233113631577478
PEOE_VSA9,6.606881964512918
RingCount,2
SMR_VSA10,12.169260177772298
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
