DLiP-ID,C000KQ
DLiP-Mol-ID,30871
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12N4O5S2/c1-9(20)16-10-2-5-12(6-3-10)26(23,24)18-15-17-13-7-4-11(19(21)22)8-14(13)25-15/h2-8H,1H3,(H,16,20)(H,17,18)"
Standard Inchi Key(RDKit),WYXZDIRWTKEHGJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1ccc(S(=O)(=O)Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),392.418
MW Monoisotopic(RDKit),392.024911484
MolLogP(RDKit),2.9637
XLogP(SDF),
XLogP(CDK),1.77
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),131.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.506775583367277
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,649691.1975875837
qed,0.5067755833672766
Chi0,18.896976746569027
Chi1,12.242020625571204
TPSA,131.3
Chi0n,13.29361710857434
Chi0v,14.926610270429792
Chi1n,7.199323901171543
Chi1v,9.498983729693663
Chi2n,5.239217932333631
Chi2v,7.95226905566951
Chi3n,3.2894995270799163
Chi3v,5.70715547402237
Chi4n,2.165074148800921
Chi4v,4.298856691068383
MolMR,97.82860000000001
MolWt,392.4180000000001
fr_SH,0
Kappa1,17.762767820209557
Kappa2,6.6892745117440064
Kappa3,3.782671559370821
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1106.772100509702
MolLogP,2.963700000000001
NOCount,9
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8544951943517738
SMR_VSA1,18.13564521721843
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,11.819220675208399
SMR_VSA6,10.038883468458419
SMR_VSA7,52.57888774799684
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,151.43505541962213
NHOHCount,2
PEOE_VSA1,5.316788604006331
PEOE_VSA2,19.630950317289482
PEOE_VSA3,13.401775505276145
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.336785877934737
PEOE_VSA7,30.33183534230805
PEOE_VSA8,24.743857611297404
PEOE_VSA9,20.03541515842081
RingCount,3
SMR_VSA10,53.99020842398564
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,392.024911484
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.131558479839333
PEOE_VSA12,5.907179729351506
PEOE_VSA13,15.710677428091145
PEOE_VSA14,0.0
SlogP_VSA1,10.038883468458419
SlogP_VSA2,24.23226628344532
SlogP_VSA3,14.817828337479405
SlogP_VSA4,10.114318268765572
SlogP_VSA5,6.923737199690624
SlogP_VSA6,47.360052954749044
SlogP_VSA7,0.0
SlogP_VSA8,10.216620634085363
SlogP_VSA9,0.0
