DLiP-ID,C000MF
DLiP-Mol-ID,31048
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H15NO4/c1-2-19-14(18)11-9-15(13(17)12(11)16)8-10-6-4-3-5-7-10/h3-7,16H,2,8-9H2,1H3"
Standard Inchi Key(RDKit),IGYRPDIWSYGHMY-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)C1=C(O)C(=O)N(Cc2ccccc2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),261.277
MW Monoisotopic(RDKit),261.10010796
MolLogP(RDKit),1.404
XLogP(SDF),
XLogP(CDK),2.39
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.831962254708786
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,24325.508023396513
qed,0.8319622547087857
Chi0,13.828062645816686
Chi1,9.130228955335799
TPSA,66.84
Chi0n,10.62724375189928
Chi0v,10.62724375189928
Chi1n,6.055613862720295
Chi1v,6.055613862720295
Chi2n,4.194443822646364
Chi2v,4.194443822646364
Chi3n,2.8627015663139854
Chi3v,2.8627015663139854
Chi4n,1.9273398100303836
Chi4v,1.9273398100303836
MolMR,68.14680000000003
MolWt,261.27700000000004
fr_SH,0
Kappa1,13.139209677934183
Kappa2,5.560840203904342
Kappa3,2.755784679553722
fr_ArN,0
fr_COO,0
