DLiP-ID,T006RR
DLiP-Mol-ID,24473
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H22N4O3/c18-16(19)11-6-7-12-13(10-21-14(12)9-11)17(24)20-8-4-2-1-3-5-15(22)23/h6-7,9-10,21H,1-5,8H2,(H3,18,19)(H,20,24)(H,22,23)"
Standard Inchi Key(RDKit),VRUKHGBNBGNBNZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc2c(C(=O)NCCCCCCC(=O)O)c[nH]c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),330.388
MW Monoisotopic(RDKit),330.169190564
MolLogP(RDKit),2.21687
XLogP(SDF),
XLogP(CDK),2.72
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),132.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.273787638525427
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,255267.74132506733
qed,0.27378763852542665
Chi0,17.526733258565955
Chi1,11.486071002992368
TPSA,132.06
Chi0n,13.393102209495101
Chi0v,13.393102209495101
