DLiP-ID,C000CJ
DLiP-Mol-ID,30609
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H13NO2S/c17-15(18)9-10-16-11-5-1-3-7-13(11)19-14-8-4-2-6-12(14)16/h1-8H,9-10H2,(H,17,18)"
Standard Inchi Key(RDKit),VNTAONUWHQBAMC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCN1c2ccccc2Sc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),271.341
MW Monoisotopic(RDKit),271.066699656
MolLogP(RDKit),3.764
XLogP(SDF),
XLogP(CDK),3.63
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),40.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.922321283979041
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,31477.617337972646
qed,0.9223212839790415
Chi0,13.242276208189782
Chi1,9.254020195423491
TPSA,40.54
Chi0n,10.243939487817746
Chi0v,11.060436068745473
Chi1n,6.107674523935095
Chi1v,6.924171104862821
Chi2n,4.332887966381508
Chi2v,5.416664922868334
Chi3n,3.081293815180472
Chi3v,4.211562194014399
Chi4n,2.229498466518318
Chi4v,3.3252471429140154
MolMR,76.26580000000004
MolWt,271.34100000000007
fr_SH,0
Kappa1,12.112235773924285
Kappa2,4.974390784706075
Kappa3,2.311560966901008
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,581.5475686853206
MolLogP,3.764000000000002
NOCount,3
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.0315508704623317
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,16.21178857396156
SMR_VSA6,11.444666136763054
SMR_VSA7,48.53093654769288
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.41619206303
NHOHCount,1
PEOE_VSA1,10.006437125691184
