DLiP-ID,T005TO
DLiP-Mol-ID,23003
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N3O4/c20-18(21)11-1-3-12(4-2-11)19(25)22-14-6-8-16-13(9-14)5-7-15(26-16)10-17(23)24/h1-4,6,8-9,15H,5,7,10H2,(H3,20,21)(H,22,25)(H,23,24)"
Standard Inchi Key(RDKit),SEQAMEBLAGCPKC-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(C(=O)Nc2ccc3c(c2)CCC(CC(=O)O)O3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),353.378
MW Monoisotopic(RDKit),353.137556088
MolLogP(RDKit),2.39127
XLogP(SDF),
XLogP(CDK),2.299
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),125.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.484977881858966
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,692608.5611823701
qed,0.4849778818589656
Chi0,18.681433796945203
Chi1,12.41872399336994
TPSA,125.5
Chi0n,13.989431233157825
Chi0v,13.989431233157825
Chi1n,8.19336106730888
Chi1v,8.19336106730888
Chi2n,6.144048850021697
Chi2v,6.144048850021697
Chi3n,4.208026219492506
Chi3v,4.208026219492506
Chi4n,2.8654353039054143
Chi4v,2.8654353039054143
MolMR,96.84310000000004
MolWt,353.3780000000001
fr_SH,0
Kappa1,17.47230332155244
Kappa2,7.264051997663113
Kappa3,3.9994681164563493
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,1
fr_N_O,0
