DLiP-ID,C000PX
DLiP-Mol-ID,31193
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C7H7N3/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H3,8,9,10)"
Standard Inchi Key(RDKit),JWYUFVNJZUSCSM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1nc2ccccc2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),133.154
MW Monoisotopic(RDKit),133.063997224
MolLogP(RDKit),1.1451
XLogP(SDF),
XLogP(CDK),0.992
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),54.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),10
QED Weighted(RDKit),0.565899971243582
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,340.8014883445473
qed,0.5658999712435825
Chi0,6.974691494688164
Chi1,4.860173345306137
TPSA,54.699999999999996
Chi0n,5.3339649414480865
Chi0v,5.3339649414480865
Chi1n,3.063238999284397
Chi1v,3.063238999284397
Chi2n,2.1391928683548396
Chi2v,2.1391928683548396
Chi3n,1.4076924494307723
Chi3v,1.4076924494307723
Chi4n,0.9725327475556593
Chi4v,0.9725327475556593
MolMR,40.50610000000001
MolWt,133.15399999999997
fr_SH,0
Kappa1,5.288577838576684
Kappa2,1.7335936676592663
Kappa3,0.6394546749085733
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
