DLiP-ID,C003CL
DLiP-Mol-ID,31363
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H11NO4S2/c14-10(15)4-1-5-13-11(16)9(19-12(13)18)7-8-3-2-6-17-8/h2-3,6-7H,1,4-5H2,(H,14,15)/b9-7+"
Standard Inchi Key(RDKit),GVNQGVLYSOUCNH-VQHVLOKHSA-N
Canonical SMILES(RDKit),O=C(O)CCCN1C(=O)/C(=C\c2ccco2)SC1=S
SMILES(SDF),
MW(SDF),
MW(RDKit),297.357
MW Monoisotopic(RDKit),297.012949832
MolLogP(RDKit),2.3456
XLogP(SDF),
XLogP(CDK),0.462
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),70.75
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.664248302045595
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,25229.531933272556
qed,0.6642483020455946
Chi0,13.828062645816686
Chi1,9.075387400469408
TPSA,70.75
Chi0n,9.866390063637379
Chi0v,11.499383225492831
Chi1n,5.58374075209826
Chi1v,6.808485623489849
Chi2n,3.846059967204244
Chi2v,5.521825556400402
Chi3n,2.462489894385167
Chi3v,3.8402681554805866
Chi4n,1.583768556189335
Chi4v,2.872406584908552
MolMR,75.45680000000003
MolWt,297.357
fr_SH,0
Kappa1,13.822967863894142
Kappa2,6.028619257238516
Kappa3,3.449129782141264
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,1
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,535.9340998864408
MolLogP,2.3456
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.0197241405627078
SMR_VSA1,19.112752700037696
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,12.841643245852019
SMR_VSA6,6.544756405912575
SMR_VSA7,29.061281065326764
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,118.80883700809022
NHOHCount,1
PEOE_VSA1,9.523678331894054
PEOE_VSA2,14.48898409899412
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.97975839243781
PEOE_VSA7,18.55355575984923
PEOE_VSA8,19.041598135672466
PEOE_VSA9,11.168299509529103
RingCount,2
SMR_VSA10,46.25279760213401
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,297.01294983200006
NumHDonors,1
PEOE_VSA10,10.080781504433414
PEOE_VSA11,0.0
PEOE_VSA12,0.0
