DLiP-ID,C000T6
DLiP-Mol-ID,31324
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14O4/c1-20-15-10-12(17)9-14(19)16(15)13(18)8-7-11-5-3-2-4-6-11/h2-10,17,19H,1H3/b8-7+"
Standard Inchi Key(RDKit),NYSZJNUIVUBQMM-BQYQJAHWSA-N
Canonical SMILES(RDKit),COc1cc(O)cc(O)c1C(=O)/C=C/c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),270.284
MW Monoisotopic(RDKit),270.089208928
MolLogP(RDKit),3.0025
XLogP(SDF),
XLogP(CDK),3.38
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.66172344667458
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,33963.11062013687
qed,0.6617234466745804
Chi0,14.535169427003234
Chi1,9.613392202930193
TPSA,66.75999999999999
Chi0n,10.907076194634278
Chi0v,10.907076194634278
