DLiP-ID,T003VM
DLiP-Mol-ID,20890
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22Cl2N2O5S/c1-13(27)26-12-32-11-20(26)21(28)25-19(22(29)30)8-14-2-4-18(5-3-14)31-10-15-6-16(23)9-17(24)7-15/h2-7,9,19-20H,8,10-12H2,1H3,(H,25,28)(H,29,30)/t19-,20+/m0/s1"
Standard Inchi Key(RDKit),MLNZGNREXNDJBQ-VQTJNVASSA-N
Canonical SMILES(RDKit),CC(=O)N1CSC[C@@H]1C(=O)N[C@@H](Cc1ccc(OCc2cc(Cl)cc(Cl)c2)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),497.4
MW Monoisotopic(RDKit),496.062648164
MolLogP(RDKit),3.6057
XLogP(SDF),
XLogP(CDK),3.752
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),95.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.578895540204062
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,12944167.490063129
qed,0.5788955402040616
Chi0,23.25034789769755
Chi1,15.223254446010252
TPSA,95.94000000000001
Chi0n,17.21617713679051
Chi0v,19.544531609755147
Chi1n,9.77517348749886
Chi1v,11.685802971896566
Chi2n,7.318352049002106
Chi2v,9.191004123490432
Chi3n,4.89504116114535
Chi3v,6.3436618963881255
Chi4n,3.2566185959710414
Chi4v,5.046289966971452
MolMR,124.13950000000003
MolWt,497.4000000000003
fr_SH,0
Kappa1,24.22692903734537
Kappa2,10.938823622943296
Kappa3,6.540894621387403
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,982.065737488991
MolLogP,3.6057000000000015
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5832991376109373
SMR_VSA1,24.227001900856223
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,32.03512244542547
SMR_VSA6,11.629641996480146
SMR_VSA7,63.63673909010791
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,199.563770930772
NHOHCount,2
PEOE_VSA1,20.06008868349756
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,35.33461391738825
PEOE_VSA7,41.45873832570204
PEOE_VSA8,29.142679056846077
PEOE_VSA9,5.876788389733356
RingCount,3
SMR_VSA10,52.74742947651101
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,496.06264816399994
NumHDonors,2
PEOE_VSA10,24.440075456092746
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.05365155780638
SlogP_VSA2,51.503425527122104
SlogP_VSA3,27.411315139654395
SlogP_VSA4,0.0
SlogP_VSA5,18.050640183084614
SlogP_VSA6,42.46456947923127
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,23.960166675599275
EState_VSA2,18.934883316790433
EState_VSA3,27.424420457246704
EState_VSA4,11.126902983393991
EState_VSA5,23.58553187993222
EState_VSA6,42.46456947923127
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,27.938742734265084
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,34.963764729856145
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
