DLiP-ID,C001CS
DLiP-Mol-ID,32171
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H14N2S/c1-2-4-11-10(3-1)14-12(15-11)9-5-7-13-8-6-9/h1-4,9,13H,5-8H2"
Standard Inchi Key(RDKit),CYASANLJWAJEPW-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2sc(C3CCNCC3)nc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),218.325
MW Monoisotopic(RDKit),218.087769448
MolLogP(RDKit),2.7633
XLogP(SDF),
XLogP(CDK),1.61
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),24.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.795815385675511
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6861.297377885391
qed,0.7958153856755109
Chi0,10.087575669810528
Chi1,7.432652990377572
TPSA,24.92
Chi0n,8.570640356658142
Chi0v,9.387136937585868
Chi1n,5.495090651862534
Chi1v,6.31158723279026
Chi2n,4.044101527678315
Chi2v,5.106328524768265
Chi3n,2.998820222312219
Chi3v,4.197713061095329
Chi4n,2.133526738421982
Chi4v,3.2700653486784574
MolMR,64.46470000000002
MolWt,218.32499999999996
fr_SH,0
Kappa1,9.30708154546324
Kappa2,3.9091781391703995
Kappa3,1.7713483337681537
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,424.3449881935006
MolLogP,2.763300000000001
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9609654011029296
