DLiP-ID,C000R9
DLiP-Mol-ID,31253
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H17NO4/c1-19-13-6-4-11(5-7-13)16(18)17-12-8-14(20-2)10-15(9-12)21-3/h4-10H,1-3H3,(H,17,18)"
Standard Inchi Key(RDKit),FTFBZINSKZOBTC-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C(=O)Nc2cc(OC)cc(OC)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),287.315
MW Monoisotopic(RDKit),287.115758024
MolLogP(RDKit),2.9647
XLogP(SDF),
XLogP(CDK),2.738
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),56.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.918214867510316
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,61146.08906413948
qed,0.9182148675103156
Chi0,15.242276208189782
Chi1,10.155728303040549
TPSA,56.790000000000006
Chi0n,12.174445046182834
Chi0v,12.174445046182834
Chi1n,6.344659464934113
Chi1v,6.344659464934113
Chi2n,4.28396633319612
Chi2v,4.28396633319612
Chi3n,2.9615201862610627
Chi3v,2.9615201862610627
Chi4n,1.8252630613578746
Chi4v,1.8252630613578746
MolMR,80.49320000000004
MolWt,287.315
fr_SH,0
Kappa1,14.71356568844182
Kappa2,6.652169302332033
Kappa3,3.6567745344286786
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
