DLiP-ID,I000L2
DLiP-Mol-ID,28567
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H24FN5O2/c1-31(2)25-29-22-13-17(15-32)5-12-21(22)23(30-25)27-14-16-3-10-20(11-4-16)28-24(33)18-6-8-19(26)9-7-18/h3-13,32H,14-15H2,1-2H3,(H,28,33)(H,27,29,30)"
Standard Inchi Key(RDKit),JXOBVBGRETYJJP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)c1nc(NCc2ccc(NC(=O)c3ccc(F)cc3)cc2)c2ccc(CO)cc2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),445.498
MW Monoisotopic(RDKit),445.191403228
MolLogP(RDKit),4.1916
XLogP(SDF),
XLogP(CDK),4.426
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.395227531950409
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Beta-catenin_TCF-4
Common Target Pref Name,Beta-catenin/TCF
RDKit Descriptors
Ipc,29573587.07287646
qed,0.3952275319504092
Chi0,23.37166824125719
Chi1,15.92305529101951
TPSA,90.38000000000001
Chi0n,18.3401336689319
Chi0v,18.3401336689319
Chi1n,10.413223781087435
Chi1v,10.413223781087435
Chi2n,7.787750058625042
Chi2v,7.787750058625042
Chi3n,5.110265364845884
Chi3v,5.110265364845884
Chi4n,3.292273412559512
Chi4v,3.292273412559512
MolMR,127.90970000000002
MolWt,445.49800000000016
fr_SH,0
Kappa1,22.164572047976115
Kappa2,9.620926631626547
Kappa3,5.241110244276705
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
