DLiP-ID,T000BI
DLiP-Mol-ID,15753
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H19N3O3S/c1-18-11-16(21)20-13-4-6-14(7-5-13)24-15(9-17(22)23)12-3-2-8-19-10-12/h2-8,10,15,18H,9,11H2,1H3,(H,20,21)(H,22,23)"
Standard Inchi Key(RDKit),AXNMHNYAXWKDCV-UHFFFAOYSA-N
Canonical SMILES(RDKit),CNCC(=O)Nc1ccc(SC(CC(=O)O)c2cccnc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),345.424
MW Monoisotopic(RDKit),345.114712468
MolLogP(RDKit),2.5476
XLogP(SDF),
XLogP(CDK),0.907
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),91.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.637027207812452
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,236480.39297399487
qed,0.6370272078124521
Chi0,17.363596551749424
Chi1,11.579718698118977
TPSA,91.32000000000001
Chi0n,13.229538047471237
Chi0v,14.046034628398964
Chi1n,7.411047011076321
Chi1v,8.290699822331216
Chi2n,5.093598175109742
Chi2v,6.36974055002514
Chi3n,3.169964097641768
Chi3v,4.437645142100585
Chi4n,2.0994259235781807
Chi4v,3.2225949404397567
MolMR,94.08620000000003
MolWt,345.424
fr_SH,0
Kappa1,17.965851694978195
Kappa2,9.047249321931046
Kappa3,5.675501323104928
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,677.2399396232729
MolLogP,2.547600000000001
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.0624809898029044
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,16.56624312842596
SMR_VSA6,18.909216992596097
SMR_VSA7,54.35534104569281
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.237910337752
NHOHCount,3
PEOE_VSA1,15.740104602853368
PEOE_VSA2,14.573052889090853
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,6.06636706846161
