DLiP-ID,C000MU
DLiP-Mol-ID,31066
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H5ClINO/c10-6-4-7(11)9(13)8-5(6)2-1-3-12-8/h1-4,13H"
Standard Inchi Key(RDKit),QCDFBFJGMNKBDO-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1c(I)cc(Cl)c2cccnc12
SMILES(SDF),
MW(SDF),
MW(RDKit),305.502
MW Monoisotopic(RDKit),304.91043946
MolLogP(RDKit),3.1984
XLogP(SDF),
XLogP(CDK),3.409
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),33.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.758308105954338
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1131.0684223072026
qed,0.7583081059543383
Chi0,9.422285251880869
Chi1,6.198377302757662
TPSA,33.120000000000005
Chi0n,6.459757213776875
Chi0v,9.373184450971651
Chi1n,3.616069028707452
Chi1v,5.072782647304841
Chi2n,2.5883889584977053
Chi2v,4.157779767625796
Chi3n,1.7689870956662064
Chi3v,2.904007087368743
Chi4n,1.1572067134578936
Chi4v,2.169756877229768
MolMR,61.134800000000006
MolWt,305.502
fr_SH,0
Kappa1,9.022684180705076
Kappa2,3.305208464125931
Kappa3,1.461563709392119
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,472.3665095200525
MolLogP,3.1984000000000004
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.9668729339241464
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,32.98876036180462
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,93.6920537323
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,40.789971832452885
PEOE_VSA8,11.583067786077873
PEOE_VSA9,8.592815584806722
RingCount,2
SMR_VSA10,45.09473544938163
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,304.9104394600001
NumHDonors,1
PEOE_VSA10,5.516700717616262
PEOE_VSA11,5.749511833283905
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,10.090505915787915
SlogP_VSA3,0.0
