DLiP-ID,C001C3
DLiP-Mol-ID,32146
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17ClN2O2/c1-12(22)21-18(14-5-9-16(23-2)10-6-14)11-17(20-21)13-3-7-15(19)8-4-13/h3-10,18H,11H2,1-2H3"
Standard Inchi Key(RDKit),LJIMSBCRUOKKBY-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C2CC(c3ccc(Cl)cc3)=NN2C(C)=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),328.799
MW Monoisotopic(RDKit),328.097855464
MolLogP(RDKit),4.0462
XLogP(SDF),
XLogP(CDK),4.322
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),41.9
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.852722111329769
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,242859.08303112435
qed,0.852722111329769
Chi0,16.396976746569035
Chi1,11.07971869811898
TPSA,41.9
Chi0n,12.992147448830051
Chi0v,13.748076394848507
