DLiP-ID,T006QY
DLiP-Mol-ID,24445
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H19Cl2N3O4S/c1-14(27)24-8-10-25(11-9-24)21(28)7-3-15-2-5-20(18(12-15)26(29)30)31-19-6-4-16(22)13-17(19)23/h2-7,12-13H,8-11H2,1H3/b7-3+"
Standard Inchi Key(RDKit),VQVVXSALLAVZRC-XVNBXDOJSA-N
Canonical SMILES(RDKit),CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc(Cl)cc3Cl)c([N+](=O)[O-])c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),480.373
MW Monoisotopic(RDKit),479.047332448
MolLogP(RDKit),4.7567
XLogP(SDF),
XLogP(CDK),4.604
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),83.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.350287299556059
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6851785.67347053
qed,0.3502872995560593
Chi0,22.543241116511002
Chi1,14.74009119841586
TPSA,83.76
Chi0n,16.586040463100844
Chi0v,18.914394936065477
Chi1n,9.382092228872482
Chi1v,10.95451775581866
Chi2n,6.825763153556287
Chi2v,8.753176017255702
Chi3n,4.748562845172728
Chi3v,6.549465824037041
Chi4n,3.0581489516930644
Chi4v,4.485916711817133
MolMR,121.54940000000003
MolWt,480.3730000000003
fr_SH,0
Kappa1,23.120241937440852
Kappa2,10.172182422026562
Kappa3,5.996835750442063
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1052.9155177794737
MolLogP,4.756700000000005
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7234502419875175
SMR_VSA1,14.512385416961315
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,16.714704150726174
SMR_VSA6,26.1790256236503
SMR_VSA7,68.19725890554876
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
