DLiP-ID,C003ME
DLiP-Mol-ID,34196
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H10N2OS/c1-13-8-4-2-7(3-5-8)9-6-14-10(11)12-9/h2-6H,1H3,(H2,11,12)"
Standard Inchi Key(RDKit),YPVVEXKDPBRGIK-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2csc(N)n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),206.27
MW Monoisotopic(RDKit),206.05138394
MolLogP(RDKit),2.4009
XLogP(SDF),
XLogP(CDK),1.956
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),48.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.820359287500773
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,2661.5933941138164
qed,0.8203592875007732
Chi0,9.966255326250886
Chi1,6.792024997884274
TPSA,48.14
Chi0n,7.727811791565441
Chi0v,8.544308372493166
Chi1n,4.148129911058745
Chi1v,5.027782722313639
Chi2n,2.7994852785276096
Chi2v,3.6891662455492127
Chi3n,1.907731106267322
Chi3v,2.581621733746212
Chi4n,1.1819799043698342
Chi4v,1.7541962995067735
MolMR,58.514400000000016
MolWt,206.26999999999998
fr_SH,0
Kappa1,9.022684180705076
Kappa2,3.6732063513047053
Kappa3,1.697048340387614
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,421.941971497762
MolLogP,2.4009
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.3322222113619544
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,12.84346501843972
SMR_VSA7,29.645531044312353
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
