DLiP-ID,T004TK
DLiP-Mol-ID,21448
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H32N4O5/c1-13(25)11-24-17(26)10-14-18-19(29-20(2,3)28-18)15(27-14)12-21-8-9-23-16-6-4-5-7-22-16/h4-7,13-15,18-19,21,25H,8-12H2,1-3H3,(H,22,23)(H,24,26)/t13-,14-,15+,18+,19-/m1/s1"
Standard Inchi Key(RDKit),PCPDTXUXSMNJPX-YXBKOPBNSA-N
Canonical SMILES(RDKit),C[C@@H](O)CNC(=O)C[C@H]1O[C@@H](CNCCNc2ccccn2)[C@H]2OC(C)(C)O[C@@H]12
SMILES(SDF),
MW(SDF),
MW(RDKit),408.499
MW Monoisotopic(RDKit),408.237270124
MolLogP(RDKit),0.257700000000002
XLogP(SDF),
XLogP(CDK),0.0109999999999999
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),113.97
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.407823592562148
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Neuropilin-1/VEGF-A
Common Target Pref Name,Neuropilin-1/VEGF-A
RDKit Descriptors
Ipc,3175445.898394227
qed,0.40782359256214806
Chi0,20.855160383312143
Chi1,13.838137074321782
TPSA,113.97000000000001
Chi0n,17.259106681494742
Chi0v,17.259106681494742
Chi1n,10.153723282664556
Chi1v,10.153723282664556
Chi2n,7.980850980747489
Chi2v,7.980850980747489
Chi3n,4.845575107854715
Chi3v,4.845575107854715
Chi4n,3.6072025637564087
Chi4v,3.6072025637564087
MolMR,107.38990000000005
MolWt,408.49900000000014
fr_SH,0
Kappa1,21.91760381837424
Kappa2,9.815374554967239
Kappa3,6.348889175815619
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,657.5314591457771
MolLogP,0.2577000000000025
NOCount,9
fr_Ar_N,1
fr_COO2,0
