DLiP-ID,I000ZN
DLiP-Mol-ID,29195
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H27N3O4/c1-2-3-16-32-21-11-7-10-19-20(17-26-22(19)21)23(29)25(31)28-14-12-27(13-15-28)24(30)18-8-5-4-6-9-18/h4-11,17,26H,2-3,12-16H2,1H3"
Standard Inchi Key(RDKit),QNAOAJICNOEZDU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCOc1cccc2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12
SMILES(SDF),
MW(SDF),
MW(RDKit),433.508
MW Monoisotopic(RDKit),433.200156344
MolLogP(RDKit),3.5141
XLogP(SDF),
XLogP(CDK),4.097
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),82.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.351161255342111
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,28284428.730032478
qed,0.35116125534211123
Chi0,22.501424753254106
Chi1,15.596555450524587
TPSA,82.71000000000001
Chi0n,18.17332024386784
Chi0v,18.17332024386784
Chi1n,11.006453963845273
Chi1v,11.006453963845273
Chi2n,7.862625696448275
Chi2v,7.862625696448275
Chi3n,5.746402405691653
