DLiP-ID,C100JD
DLiP-Mol-ID,36507
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H11NO3/c16-11-6-7-13-12(8-11)15(14(17)18-13)9-10-4-2-1-3-5-10/h1-8,16H,9H2"
Standard Inchi Key(RDKit),ZRWQIARLRGDXQG-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1oc2ccc(O)cc2n1Cc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),241.246
MW Monoisotopic(RDKit),241.073893212
MolLogP(RDKit),2.3484
XLogP(SDF),
XLogP(CDK),2.437
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.748840903286476
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,21581.658154315457
qed,0.748840903286476
Chi0,12.535169427003234
Chi1,8.737183443017882
TPSA,55.37
Chi0n,9.536832706631198
Chi0v,9.536832706631198
Chi1n,5.601691459791388
Chi1v,5.601691459791388
Chi2n,4.091740837539765
Chi2v,4.091740837539765
Chi3n,2.8344839612493438
Chi3v,2.8344839612493438
Chi4n,1.9662297529116568
Chi4v,1.9662297529116568
MolMR,67.68280000000003
MolWt,241.24599999999998
fr_SH,0
Kappa1,10.650606281602649
