DLiP-ID,I000EO
DLiP-Mol-ID,28298
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H34N4O2S/c1-17(28-5)24(32)30-23(27(2,3)4)26(33)31-15-9-14-22(31)25-29-21(16-34-25)20-13-8-11-18-10-6-7-12-19(18)20/h6-8,10-13,16-17,22-23,28H,9,14-15H2,1-5H3,(H,30,32)/t17-,22-,23+/m0/s1"
Standard Inchi Key(RDKit),GYYAJGUBSPVKPD-PDIWNELESA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2cccc3ccccc23)cs1)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),478.662
MW Monoisotopic(RDKit),478.240247328
MolLogP(RDKit),4.7656
XLogP(SDF),
XLogP(CDK),4.466
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),74.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.535446303198964
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,51001878.55907818
qed,0.5354463031989638
Chi0,24.457454678884094
Chi1,16.201727166047124
TPSA,74.33000000000001
Chi0n,20.591345367037036
Chi0v,21.407841947964762
Chi1n,11.921013451968347
Chi1v,12.800666263223242
Chi2n,10.105340439364344
Chi2v,10.995021406385943
Chi3n,6.634343064941167
Chi3v,7.580309614425668
Chi4n,4.5132109922845665
Chi4v,5.478486034703584
MolMR,138.65139999999988
MolWt,478.66200000000015
fr_SH,0
Kappa1,24.357599219897974
Kappa2,9.841177525551503
Kappa3,4.860286925187191
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1177.3368500804534
MolLogP,4.7656000000000045
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6013404710549572
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,20.51746545981035
SMR_VSA4,5.41499046939678
SMR_VSA5,58.662114532058396
SMR_VSA6,13.592428388589765
SMR_VSA7,52.852255946549946
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,205.31613379418448
NHOHCount,2
PEOE_VSA1,15.53348693886314
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,63.235781078303134
PEOE_VSA7,43.000491326546204
PEOE_VSA8,17.488270668075486
PEOE_VSA9,17.77760965314438
RingCount,4
SMR_VSA10,33.92359376556734
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,478.24024732799995
NumHDonors,2
PEOE_VSA10,11.049464526000726
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,47.374357757386385
SlogP_VSA3,9.589074368143644
SlogP_VSA4,5.41499046939678
SlogP_VSA5,51.58605657061524
SlogP_VSA6,47.844632249697185
SlogP_VSA7,0.0
SlogP_VSA8,22.02982791547505
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.45683129854474
EState_VSA2,23.898041116998932
EState_VSA3,6.544756405912575
EState_VSA4,29.10664642925024
EState_VSA5,10.772448428929591
EState_VSA6,25.308195060302552
EState_VSA7,37.80385546684557
EState_VSA8,46.345475320786626
EState_VSA9,4.9839785209472085
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
