DLiP-ID,T003ZI
DLiP-Mol-ID,21057
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H19NO4S/c1-2-19-14(16)13-10-6-7-11-15(13)20(17,18)12-8-4-3-5-9-12/h3-5,8-9,13H,2,6-7,10-11H2,1H3"
Standard Inchi Key(RDKit),MSZJBCLQSZKRQD-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)C1CCCCN1S(=O)(=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),297.376
MW Monoisotopic(RDKit),297.103479088
MolLogP(RDKit),1.7929
XLogP(SDF),
XLogP(CDK),2.203
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),63.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.794902233260188
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,34977.853437473525
qed,0.7949022332601879
Chi0,14.58757566981053
Chi1,9.569715438551782
TPSA,63.68
Chi0n,11.488090568889769
Chi0v,12.304587149817495
Chi1n,6.806095553991178
Chi1v,8.246158882791818
Chi2n,4.692436540553857
Chi2v,6.582991141426257
Chi3n,3.3621551429145975
Chi3v,5.284553803757329
Chi4n,2.3945761553719778
Chi4v,4.062392599742254
MolMR,74.60580000000004
MolWt,297.376
fr_SH,0
Kappa1,14.99775093710954
Kappa2,6.366645662675908
Kappa3,3.015748454716474
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,555.7964524418635
MolLogP,1.7929
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.3005011257371324
SMR_VSA1,17.949197122200808
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,37.123526373134396
SMR_VSA6,13.151638370425493
SMR_VSA7,30.33183534230805
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,119.14078577330972
NHOHCount,0
PEOE_VSA1,4.736862953800049
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,38.31893620539187
PEOE_VSA8,6.544756405912575
PEOE_VSA9,11.502365440030694
RingCount,2
SMR_VSA10,15.992596441359433
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,297.10347908800003
NumHDonors,0
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,37.88579746315047
SlogP_VSA3,19.554691291279454
SlogP_VSA4,0.0
SlogP_VSA5,26.186202068468653
SlogP_VSA6,35.227318817825825
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
