DLiP-ID,I000YS
DLiP-Mol-ID,29164
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N2O3/c1-12-6-2-3-7-14(12)18(22)21-17(19(23)24)10-13-11-20-16-9-5-4-8-15(13)16/h4-5,8-9,11-12,14,17,20H,2-3,6-7,10H2,1H3,(H,21,22)(H,23,24)/t12-,14-,17+/m1/s1"
Standard Inchi Key(RDKit),QFJYPNYTGSGPEJ-MRRJBJDNSA-N
Canonical SMILES(RDKit),C[C@@H]1CCCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),328.412
MW Monoisotopic(RDKit),328.178692628
MolLogP(RDKit),3.1061
XLogP(SDF),
XLogP(CDK),3.592
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),82.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.788523531640512
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LFA_ICAM
Common Target Pref Name,LFA/ICAM
RDKit Descriptors
Ipc,372176.1646553898
qed,0.7885235316405119
Chi0,17.104083527755584
Chi1,11.558550648063804
TPSA,82.19
Chi0n,13.918046235877432
