DLiP-ID,C002FX
DLiP-Mol-ID,30868
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21ClN2O4/c21-16-2-4-17(5-3-16)25-13-20(24)23-9-7-22(8-10-23)12-15-1-6-18-19(11-15)27-14-26-18/h1-6,11H,7-10,12-14H2"
Standard Inchi Key(RDKit),BFUJHVVEMMWLHC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.851
MW Monoisotopic(RDKit),388.118984832
MolLogP(RDKit),2.7919
XLogP(SDF),
XLogP(CDK),2.715
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),51.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.787964586142916
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,2540542.9250608324
qed,0.7879645861429156
Chi0,18.639617433688315
Chi1,13.169836433395455
TPSA,51.24000000000001
Chi0n,14.896584178497813
Chi0v,15.652513124516267
Chi1n,8.942757706995998
Chi1v,9.320722180005225
Chi2n,6.587143522250865
Chi2v,7.02357930272285
Chi3n,4.74410629967405
Chi3v,4.996082615013535
Chi4n,3.220066073035122
Chi4v,3.346054230704864
MolMR,101.36900000000004
MolWt,388.85100000000017
fr_SH,0
Kappa1,17.94818379637724
Kappa2,8.064536767617637
Kappa3,4.458720035749624
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,804.1290522232534
MolLogP,2.791900000000001
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.232505401905759
SMR_VSA1,19.005126045471968
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,39.578849894263044
SMR_VSA7,53.05065428466959
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,162.72146328952826
NHOHCount,0
PEOE_VSA1,19.110498592250625
PEOE_VSA2,9.694446914922299
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.667306958694127
PEOE_VSA7,41.96165390246666
PEOE_VSA8,37.7464153433042
