DLiP-ID,C000VN
DLiP-Mol-ID,31440
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17N3O4S/c1-11(2)12-6-3-4-8-15(12)26(24,25)16-10-14(19)17-13(7-5-9-20-17)18(16)21(22)23/h3-11H,19H2,1-2H3"
Standard Inchi Key(RDKit),YUVNGBZROXQYQH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)c1ccccc1S(=O)(=O)c1cc(N)c2ncccc2c1[N+](=O)[O-]
SMILES(SDF),
MW(SDF),
MW(RDKit),371.418
MW Monoisotopic(RDKit),371.093977024
MolLogP(RDKit),3.6814
XLogP(SDF),
XLogP(CDK),3.368
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),116.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.424668784976177
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,582779.2287620743
qed,0.4246687849761772
Chi0,19.060113453385565
Chi1,12.24692469125427
TPSA,116.19
Chi0n,14.209171335215492
Chi0v,15.025667916143219
Chi1n,7.904235627924036
Chi1v,9.387398875518427
Chi2n,6.165179463858166
Chi2v,8.051705850499614
Chi3n,4.158884733990846
Chi3v,5.999929972026094
Chi4n,2.950968207943037
Chi4v,4.780809804060409
MolMR,98.79260000000004
MolWt,371.41800000000006
