DLiP-ID,T0060V
DLiP-Mol-ID,23307
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H31NO6/c1-16(2)25(13-6-14-32-25)24(29)26-19(23(27)28)15-17-9-11-18(12-10-17)22-20(30-3)7-5-8-21(22)31-4/h5,7-12,16,19H,6,13-15H2,1-4H3,(H,26,29)(H,27,28)/t19-,25-/m0/s1"
Standard Inchi Key(RDKit),SSYLLNMYBQFPCH-DFBJGRDBSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)[C@@]2(C(C)C)CCCO2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),441.524
MW Monoisotopic(RDKit),441.215137712
MolLogP(RDKit),3.6879
XLogP(SDF),
XLogP(CDK),3.689
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),94.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.616479128210968
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,15464942.09216241
qed,0.616479128210968
Chi0,23.30275414050484
Chi1,15.317734777597089
