DLiP-ID,I0000W
DLiP-Mol-ID,27698
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H27FN4O4/c1-35-26-21(32-19-11-13-30-25-17(19)6-9-22(25)33)8-7-20(23(26)28)29-12-10-15-14-31-24-16(15)4-3-5-18(24)27(34)36-2/h3-5,7-8,11,13-14,22,29,31,33H,6,9-10,12H2,1-2H3,(H,30,32)/t22-/m0/s1"
Standard Inchi Key(RDKit),AJNIRMRAESTAJH-QFIPXVFZSA-N
Canonical SMILES(RDKit),COC(=O)c1cccc2c(CCNc3ccc(Nc4ccnc5c4CC[C@@H]5O)c(OC)c3F)c[nH]c12
SMILES(SDF),
MW(SDF),
MW(RDKit),490.535
MW Monoisotopic(RDKit),490.201633564
MolLogP(RDKit),4.875
XLogP(SDF),
XLogP(CDK),3.63
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),108.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.260914915367062
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,227482704.07862127
qed,0.2609149153670618
Chi0,25.233475560822992
Chi1,17.511570350697113
TPSA,108.5
Chi0n,20.02171608285356
Chi0v,20.02171608285356
Chi1n,11.71949870270796
Chi1v,11.71949870270796
Chi2n,8.62009884006857
Chi2v,8.62009884006857
Chi3n,6.559360293280352
Chi3v,6.559360293280352
Chi4n,4.760228491568892
Chi4v,4.760228491568892
MolMR,135.58440000000002
MolWt,490.53500000000025
fr_SH,0
Kappa1,23.62345523973014
Kappa2,9.865579584707982
Kappa3,4.219697095541172
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1435.0637454524108
MolLogP,4.8750000000000036
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3148843037088618
SMR_VSA1,23.765205534187444
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,25.366431256526333
SMR_VSA6,31.397928696480303
SMR_VSA7,76.99339286498116
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,207.01787630836057
NHOHCount,4
PEOE_VSA1,30.19780903140067
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,9.184952231746642
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,54.654836126018466
PEOE_VSA8,30.012054038287086
PEOE_VSA9,48.4724142238322
RingCount,5
SMR_VSA10,33.93438904408359
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,490.201633564
NumHDonors,4
PEOE_VSA10,0.0
PEOE_VSA11,11.5667326743298
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,15.370440161812711
SlogP_VSA2,41.80814121315462
SlogP_VSA3,17.578506199652068
SlogP_VSA4,5.817220841045895
SlogP_VSA5,39.70360766468558
SlogP_VSA6,48.791889553995816
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,2
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.890492516746047
EState_VSA2,5.749511833283905
