DLiP-ID,I001GO
DLiP-Mol-ID,24220
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H22N2O3S/c1-11-8-9-14(17-12(2)18-22-13(17)3)10-16(11)23(20,21)19-15-6-4-5-7-15/h8-10,15,19H,4-7H2,1-3H3"
Standard Inchi Key(RDKit),YTFPNQZFSVSZGW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),334.441
MW Monoisotopic(RDKit),334.135113564
MolLogP(RDKit),3.48776
XLogP(SDF),
XLogP(CDK),3.353
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.928796099461707
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,196180.03590571653
qed,0.9287960994617073
Chi0,16.61251969619286
Chi1,10.881847280265067
TPSA,72.2
Chi0n,13.718034958860105
Chi0v,14.534531539787832
Chi1n,7.945092339849288
Chi1v,9.42825558744368
Chi2n,6.2821151675293745
Chi2v,7.9645174089388915
Chi3n,4.47669611866208
Chi3v,6.139187036760758
Chi4n,3.266797349209646
Chi4v,4.842337037887692
MolMR,88.72750000000005
MolWt,334.44100000000014
fr_SH,0
Kappa1,16.2067005901362
Kappa2,6.091591860971229
Kappa3,3.1859397048219704
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,798.8591801515753
MolLogP,3.4877600000000015
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0051012054428203
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,9.878758121577533
SMR_VSA4,0.0
SMR_VSA5,57.39182239544165
SMR_VSA6,0.0
SMR_VSA7,35.21672811080473
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
