DLiP-ID,C000HR
DLiP-Mol-ID,30840
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H14F2N2O2/c21-15-8-1-3-10-17(15)23-19(25)13-6-5-7-14(12-13)20(26)24-18-11-4-2-9-16(18)22/h1-12H,(H,23,25)(H,24,26)"
Standard Inchi Key(RDKit),NGMBMIKWVLIQJO-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccccc1F)c1cccc(C(=O)Nc2ccccc2F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),352.34
MW Monoisotopic(RDKit),352.102334128
MolLogP(RDKit),4.4694
XLogP(SDF),
XLogP(CDK),4.286
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.727812919118822
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,846764.1993452638
qed,0.7278129191188218
Chi0,18.518297090128677
Chi1,12.541713895658194
TPSA,58.2
Chi0n,13.500628757221692
Chi0v,13.500628757221692
Chi1n,7.762280506898261
Chi1v,7.762280506898261
Chi2n,5.4487454394586505
Chi2v,5.4487454394586505
Chi3n,3.6310629716802847
Chi3v,3.6310629716802847
Chi4n,2.3157978186101107
Chi4v,2.3157978186101107
MolMR,95.14840000000002
MolWt,352.34000000000003
fr_SH,0
Kappa1,17.28845889863739
Kappa2,7.565026090289818
Kappa3,3.9196959889949454
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,898.5348225997549
MolLogP,4.469400000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7722204896015368
SMR_VSA1,18.369904463493285
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,10.633577208012662
SMR_VSA7,95.55774948702513
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,148.02931513357436
NHOHCount,2
PEOE_VSA1,10.633577208012662
PEOE_VSA2,9.589074368143644
PEOE_VSA3,8.78083009534964
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,42.46456947923127
PEOE_VSA8,11.126902983393991
PEOE_VSA9,11.374772549367124
RingCount,3
SMR_VSA10,23.189132008070136
fr_Al_COO,0
