DLiP-ID,C004AT
DLiP-Mol-ID,35075
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H31Cl2NO4/c1-4-22(16(2)15-30)29-24(17-8-10-19(27)11-9-17)21(18-6-5-7-20(28)12-18)13-26(3,25(29)33)14-23(31)32/h5-12,16,21-22,24,30H,4,13-15H2,1-3H3,(H,31,32)/t16-,21-,22+,24-,26-/m0/s1"
Standard Inchi Key(RDKit),NORYKJFEQYUVKB-BZVXSLLXSA-N
Canonical SMILES(RDKit),CC[C@H]([C@@H](C)CO)N1C(=O)[C@](C)(CC(=O)O)C[C@@H](c2cccc(Cl)c2)[C@@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),492.443
MW Monoisotopic(RDKit),491.163013832
MolLogP(RDKit),5.93860000000001
XLogP(SDF),
XLogP(CDK),5.0
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),77.84
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.478365452787797
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,14582157.086036513
qed,0.4783654527877968
Chi0,24.336134335324452
Chi1,15.606409912191904
TPSA,77.84
Chi0n,19.17069666846776
Chi0v,20.68255456050467
Chi1n,11.272665343979925
Chi1v,12.02859428999838
Chi2n,9.341063366576506
Chi2v,10.213934927520475
