DLiP-ID,C000VV
DLiP-Mol-ID,31448
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H32O3/c1-13-11-16-17(20(3)8-5-15(24)12-19(13)20)6-9-21(4)18(16)7-10-22(21,25)14(2)23/h12-13,16-18,25H,5-11H2,1-4H3/t13-,16+,17-,18-,20+,21-,22-/m0/s1"
Standard Inchi Key(RDKit),FRQMUZJSZHZSGN-HBNHAYAOSA-N
Canonical SMILES(RDKit),CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
SMILES(SDF),
MW(SDF),
MW(RDKit),344.495
MW Monoisotopic(RDKit),344.235144884
MolLogP(RDKit),4.0844
XLogP(SDF),
XLogP(CDK),3.539
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.779486409768389
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,424524.1200656136
qed,0.7794864097683887
Chi0,18.198306133819766
Chi1,11.632499820164618
TPSA,54.37
Chi0n,16.10020899068165
Chi0v,16.10020899068165
Chi1n,10.116454421272747
Chi1v,10.116454421272747
Chi2n,9.908327221498558
Chi2v,9.908327221498558
Chi3n,9.01278429517685
Chi3v,9.01278429517685
Chi4n,7.579080532362377
Chi4v,7.579080532362377
MolMR,96.88780000000006
MolWt,344.4950000000001
fr_SH,0
Kappa1,17.45364097895732
Kappa2,5.280013405786982
Kappa3,2.0791301242237035
