DLiP-ID,C000DG
DLiP-Mol-ID,30652
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10N2O2/c14-10-1-3-12-8(6-10)5-9-7-11(15(16)17)2-4-13(9)12/h1-4,6-7H,5,14H2"
Standard Inchi Key(RDKit),IJMROTSXJSMTPW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),226.235
MW Monoisotopic(RDKit),226.07422756
MolLogP(RDKit),2.7482
XLogP(SDF),
XLogP(CDK),2.981
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),69.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.393765284880112
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,11795.403797662942
qed,0.39376528488011175
Chi0,11.991199352633217
Chi1,8.147867045540842
TPSA,69.16
Chi0n,9.012268841941614
Chi0v,9.012268841941614
Chi1n,5.310604828626621
Chi1v,5.310604828626621
Chi2n,4.19192092289857
Chi2v,4.19192092289857
Chi3n,3.1000174951407775
Chi3v,3.1000174951407775
Chi4n,2.3305383829508726
Chi4v,2.3305383829508726
MolMR,65.75080000000001
MolWt,226.235
fr_SH,0
Kappa1,9.83701137204142
Kappa2,3.3149156081687883
Kappa3,1.4549395186432224
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,635.3117434131694
MolLogP,2.7482000000000006
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1547918675956335
SMR_VSA1,4.923311048817671
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,5.733667477162185
SMR_VSA7,57.639423662929225
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,97.84047470594088
NHOHCount,2
PEOE_VSA1,5.733667477162185
PEOE_VSA2,10.114318268765572
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,46.87372879509882
PEOE_VSA8,17.820120411606784
PEOE_VSA9,4.923311048817671
RingCount,3
SMR_VSA10,11.374772549367124
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,226.07422756
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.687386274683562
PEOE_VSA14,0.0
SlogP_VSA1,5.733667477162185
SlogP_VSA2,4.923311048817671
