DLiP-ID,T000FJ
DLiP-Mol-ID,15926
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H28N2O2/c1-23(26,20-6-3-2-4-7-20)21-12-15-25(16-13-21)14-5-17-27-22-10-8-19(18-24)9-11-22/h2-4,6-11,21,26H,5,12-17H2,1H3"
Standard Inchi Key(RDKit),BEMCOBAYLGRGFI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(O)(c1ccccc1)C1CCN(CCCOc2ccc(C#N)cc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),364.489
MW Monoisotopic(RDKit),364.215078136
MolLogP(RDKit),3.94688
XLogP(SDF),
XLogP(CDK),3.823
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),56.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.756068833211935
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MLL/Menin
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1555334.7923297216
qed,0.7560688332119352
Chi0,19.114673407305986
Chi1,13.091684826406393
TPSA,56.49
Chi0n,15.973139237165833
Chi0v,15.973139237165833
Chi1n,9.725918696468634
Chi1v,9.725918696468634
Chi2n,7.467658124911317
Chi2v,7.467658124911317
Chi3n,5.611578459613977
