DLiP-ID,P000A2
DLiP-Mol-ID,24542
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H24N2O5/c1-13(2)9-14(11-23-20(24)15-5-7-22-8-6-15)10-16-3-4-17-19(28-12-27-17)18(16)21(25)26/h3-8,13-14H,9-12H2,1-2H3,(H,23,24)(H,25,26)/t14-/m0/s1"
Standard Inchi Key(RDKit),MNUFCQCGIBAEIV-AWEZNQCLSA-N
Canonical SMILES(RDKit),CC(C)C[C@H](CNC(=O)c1ccncc1)Cc1ccc2c(c1C(=O)O)OCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),384.432
MW Monoisotopic(RDKit),384.168521868
MolLogP(RDKit),3.1433
XLogP(SDF),
XLogP(CDK),3.448
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),97.75
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.725588578917452
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,2381089.6473951647
qed,0.7255885789174519
Chi0,20.0956473593183
Chi1,13.452397498181156
TPSA,97.75000000000001
Chi0n,15.974649631118568
Chi0v,15.974649631118568
Chi1n,9.283352447162157
Chi1v,9.283352447162157
Chi2n,7.284237861087935
Chi2v,7.284237861087935
Chi3n,4.6465469604393
Chi3v,4.6465469604393
Chi4n,3.476623582417439
Chi4v,3.476623582417439
MolMR,102.74350000000008
MolWt,384.4320000000002
fr_SH,0
Kappa1,19.665522247451868
Kappa2,8.73217007182389
Kappa3,4.597423576766392
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
