DLiP-ID,J100AB
DLiP-Mol-ID,37073
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H24N2O/c1-3-18(4-2)15-11-9-14(10-12-15)17-16(19)13-7-5-6-8-13/h9-13H,3-8H2,1-2H3,(H,17,19)"
Standard Inchi Key(RDKit),HFWGJLBLBGDGEN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(NC(=O)C2CCCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),260.381
MW Monoisotopic(RDKit),260.188863388
MolLogP(RDKit),3.6615
XLogP(SDF),
XLogP(CDK),3.675
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),32.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.875895493052485
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,32339.92339142653
qed,0.8758954930524852
Chi0,13.664925939000156
Chi1,9.240713402868018
TPSA,32.34
Chi0n,11.984853919031238
Chi0v,11.984853919031238
Chi1n,7.400938957957139
Chi1v,7.400938957957139
Chi2n,5.189795365688447
Chi2v,5.189795365688447
Chi3n,3.9893943591552072
Chi3v,3.9893943591552072
Chi4n,2.776658797117935
Chi4v,2.776658797117935
MolMR,80.59070000000006
MolWt,260.3809999999999
fr_SH,0
Kappa1,13.910966297833655
Kappa2,6.596991445412923
Kappa3,3.4915004738205684
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
