DLiP-ID,J100AN
DLiP-Mol-ID,37085
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H14N4O3/c23-17-10-25-16-7-6-12(8-14(16)20-17)19-18(24)15-9-13(21-22-15)11-4-2-1-3-5-11/h1-9H,10H2,(H,19,24)(H,20,23)(H,21,22)"
Standard Inchi Key(RDKit),VVWIBCBKLAOUNR-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1COc2ccc(NC(=O)c3cc(-c4ccccc4)[nH]n3)cc2N1
SMILES(SDF),
MW(SDF),
MW(RDKit),334.335
MW Monoisotopic(RDKit),334.106590308
MolLogP(RDKit),2.6599
XLogP(SDF),
XLogP(CDK),2.694
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),96.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.685931515547286
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,975222.6410029266
qed,0.6859315155472865
Chi0,17.225403871315223
Chi1,12.18667318580106
TPSA,96.11
Chi0n,13.07521767078473
Chi0v,13.07521767078473
Chi1n,7.677882299809009
Chi1v,7.677882299809009
Chi2n,5.53479953610753
Chi2v,5.53479953610753
Chi3n,3.765580363391491
Chi3v,3.765580363391491
Chi4n,2.5596382256397114
Chi4v,2.5596382256397114
MolMR,92.54360000000003
MolWt,334.335
fr_SH,0
Kappa1,14.949326786379796
Kappa2,6.120849746668955
Kappa3,3.070487027387554
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,949.9648484877647
MolLogP,2.6598999999999995
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5190643068201057
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,17.24045917252558
SMR_VSA7,60.29123161100295
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,142.56816248846167
NHOHCount,3
PEOE_VSA1,15.37044016181271
PEOE_VSA2,14.687756176444681
PEOE_VSA3,0.0
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,29.828919765543436
PEOE_VSA8,5.687386274683562
PEOE_VSA9,11.381314269532023
RingCount,4
SMR_VSA10,23.189132008070136
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,334.1065903080001
NumHDonors,3
PEOE_VSA10,5.749511833283905
PEOE_VSA11,12.300809959361379
PEOE_VSA12,0.0
PEOE_VSA13,11.814359458703011
PEOE_VSA14,0.0
SlogP_VSA1,15.37044016181271
SlogP_VSA2,28.618605039818004
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,10.488465178920283
SlogP_VSA6,54.59730361615449
