DLiP-ID,C002WV
DLiP-Mol-ID,32958
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12FNO3S/c16-10-6-2-1-4-8(10)13(18)17-14-12(15(19)20)9-5-3-7-11(9)21-14/h1-2,4,6H,3,5,7H2,(H,17,18)(H,19,20)"
Standard Inchi Key(RDKit),YTCLNFRWWDXEMR-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1sc2c(c1C(=O)O)CCC2)c1ccccc1F
SMILES(SDF),
MW(SDF),
MW(RDKit),305.33
MW Monoisotopic(RDKit),305.052192464
MolLogP(RDKit),3.3264
XLogP(SDF),
XLogP(CDK),2.385
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.913804932789845
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,85976.12981260588
qed,0.9138049327898453
Chi0,14.982763184195939
Chi1,10.07538740046941
TPSA,66.4
Chi0n,10.980644360218923
Chi0v,11.79714094114665
Chi1n,6.513542665558492
Chi1v,7.330039246486217
Chi2n,4.800592321940474
Chi2v,5.905764037463014
Chi3n,3.4807146488050305
Chi3v,4.687948436943534
Chi4n,2.5343724686117124
Chi4v,3.810796558607787
MolMR,77.65650000000002
MolWt,305.33
fr_SH,0
Kappa1,13.758455946810924
Kappa2,5.290027900134606
Kappa3,2.422454536333767
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,738.515114995955
MolLogP,3.3264000000000022
NOCount,4
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9409780456352934
SMR_VSA1,19.086016810659167
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,19.26246486877803
SMR_VSA6,5.316788604006331
SMR_VSA7,51.65019078368462
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,123.78041555324414
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.184952231746642
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.13273413692322
PEOE_VSA7,36.958650497398246
PEOE_VSA8,4.8771471937013
PEOE_VSA9,11.126902983393991
RingCount,3
SMR_VSA10,28.21435287192596
fr_Al_COO,0
