DLiP-ID,P0006Z
DLiP-Mol-ID,23697
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H25N7O2/c1-11-21(12(2)33-30-11)16-8-18-15(9-19(16)32-5)22-23(27-18)25-13(3)26-24(22)28-20-10-17(14-6-7-14)29-31(20)4/h8-10,14H,6-7H2,1-5H3,(H2,25,26,27,28)"
Standard Inchi Key(RDKit),JIYPVUCBRQNICX-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4CC4)nn3C)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),443.511
MW Monoisotopic(RDKit),443.20697304
MolLogP(RDKit),5.05446
XLogP(SDF),
XLogP(CDK),4.587
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),106.68
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.391141990363486
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,53545676.89343956
qed,0.39114199036348557
Chi0,22.852642193269507
Chi1,15.923055291019516
TPSA,106.68
Chi0n,19.27617919755911
Chi0v,19.27617919755911
Chi1n,11.048754469604008
Chi1v,11.048754469604008
Chi2n,8.742604069535618
Chi2v,8.742604069535618
Chi3n,6.326394564411374
Chi3v,6.326394564411374
Chi4n,4.564309997511596
Chi4v,4.564309997511596
MolMR,126.12040000000005
MolWt,443.5110000000002
fr_SH,0
Kappa1,19.77898305271101
Kappa2,7.061209728565742
Kappa3,3.143671749502977
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1518.5162082879922
MolLogP,5.054460000000003
NOCount,9
fr_Ar_N,6
fr_COO2,0
fr_urea,0
BalabanJ,1.544484295465967
SMR_VSA1,9.259957890773396
SMR_VSA2,0.0
SMR_VSA3,29.889083563413294
SMR_VSA4,7.04767198267719
SMR_VSA5,39.53076089108529
SMR_VSA6,12.426586145283864
SMR_VSA7,41.171609111956116
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,189.70705716051475
NHOHCount,2
PEOE_VSA1,19.560725015726934
PEOE_VSA2,4.681802935145185
PEOE_VSA3,9.967957041894417
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,5.156663257125445
PEOE_VSA7,45.74558898184712
PEOE_VSA8,35.49832152107824
PEOE_VSA9,29.44732923713625
RingCount,6
SMR_VSA10,33.57205192298363
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,443.2069730400001
NumHDonors,2
PEOE_VSA10,34.617066526596055
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,36.998881104690824
SlogP_VSA3,7.04767198267719
SlogP_VSA4,20.771211599071872
SlogP_VSA5,41.73205719858471
SlogP_VSA6,22.72219614235818
SlogP_VSA7,0.0
SlogP_VSA8,33.063229350707566
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,11.74231054416132
EState_VSA4,67.5965701482329
EState_VSA5,12.841643245852019
EState_VSA6,7.109797541277533
EState_VSA7,38.56705358535586
EState_VSA8,37.67282484825045
EState_VSA9,14.243936411720604
SlogP_VSA10,11.635725555670057
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
