DLiP-ID,I0010M
DLiP-Mol-ID,29230
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H21N3O4/c1-29-16-7-8-19-17(13-16)18(14-23-19)20(26)22(28)25-11-9-24(10-12-25)21(27)15-5-3-2-4-6-15/h2-8,13-14,23H,9-12H2,1H3"
Standard Inchi Key(RDKit),QXXQFKJYCHTAPB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.427
MW Monoisotopic(RDKit),391.153206152
MolLogP(RDKit),2.3438
XLogP(SDF),
XLogP(CDK),2.747
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),82.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.546694118787952
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,6497960.891588614
qed,0.5466941187879519
Chi0,20.380104409694468
Chi1,14.07971869811898
TPSA,82.71000000000001
Chi0n,16.051999900308193
Chi0v,16.051999900308193
Chi1n,9.412937274384069
Chi1v,9.412937274384069
Chi2n,6.8934155076709915
Chi2v,6.8934155076709915
Chi3n,5.20261918256776
Chi3v,5.20261918256776
Chi4n,3.5493112079705758
Chi4v,3.5493112079705758
MolMR,108.10670000000002
MolWt,391.42700000000013
fr_SH,0
Kappa1,18.73939287866469
Kappa2,7.788994391617553
Kappa3,3.586270443637152
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
