DLiP-ID,C001CV
DLiP-Mol-ID,32174
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H24N2O/c1-10-8-13(16(3,4)5)15(19)11(2)12(10)9-14-17-6-7-18-14/h8,19H,6-7,9H2,1-5H3,(H,17,18)"
Standard Inchi Key(RDKit),WYWIFABBXFUGLM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
SMILES(SDF),
MW(SDF),
MW(RDKit),260.381
MW Monoisotopic(RDKit),260.188863388
MolLogP(RDKit),2.85074
XLogP(SDF),
XLogP(CDK),3.362
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),44.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.858524905614349
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,18084.806080986276
qed,0.8585249056143486
Chi0,14.206742302257043
Chi1,8.803549018280203
TPSA,44.620000000000005
Chi0n,12.593097803749187
Chi0v,12.593097803749187
Chi1n,6.9014518024862435
Chi1v,6.9014518024862435
Chi2n,6.3751536406594065
Chi2v,6.3751536406594065
Chi3n,3.795600582560021
Chi3v,3.795600582560021
Chi4n,2.5891750069797075
Chi4v,2.5891750069797075
MolMR,80.28950000000003
MolWt,260.3809999999999
fr_SH,0
Kappa1,13.910966297833657
Kappa2,4.874595606076829
Kappa3,2.748814467280558
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,524.530962684777
MolLogP,2.850740000000001
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.4334871578442723
SMR_VSA1,5.106527394840706
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,4.992404732635669
SMR_VSA5,46.454498090775914
SMR_VSA6,13.08951281182515
SMR_VSA7,28.320173035249592
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.314411531598
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.992404732635669
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,26.83757866753348
PEOE_VSA7,41.516270835566004
PEOE_VSA8,12.965578028838586
PEOE_VSA9,6.544756405912575
RingCount,2
SMR_VSA10,5.835619785757269
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,260.188863388
NumHDonors,2
