DLiP-ID,I001IT
DLiP-Mol-ID,30028
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H14ClN3OS/c1-7-5-9(3-4-10(7)14)11-6-19-13(16-11)17-12(18)8(2)15/h3-6,8H,15H2,1-2H3,(H,16,17,18)/t8-/m0/s1"
Standard Inchi Key(RDKit),ZNBPSBVGOOQAMX-QMMMGPOBSA-N
Canonical SMILES(RDKit),Cc1cc(-c2csc(NC(=O)[C@H](C)N)n2)ccc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),295.795
MW Monoisotopic(RDKit),295.054610748
MolLogP(RDKit),3.05762
XLogP(SDF),
XLogP(CDK),2.382
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),68.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.914233363329047
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,22042.462260317705
qed,0.914233363329047
Chi0,13.991199352633217
Chi1,8.96923425058676
TPSA,68.01
Chi0n,10.605776264574667
Chi0v,12.178201791520848
Chi1n,5.75621412628912
Chi1v,7.0138314105532436
Chi2n,4.279787573883057
Chi2v,5.545090552481683
Chi3n,2.6015887812910123
Chi3v,3.7833891873880248
Chi4n,1.4869877572772172
Chi4v,2.327154684027351
MolMR,79.57610000000003
MolWt,295.7950000000001
fr_SH,0
Kappa1,13.989202951819792
Kappa2,5.690057101989066
Kappa3,3.3159356569714182
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,609.6858396722914
MolLogP,3.05762
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.20587321033124
SMR_VSA1,4.794537184071822
