DLiP-ID,C001FH
DLiP-Mol-ID,32296
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H22N2O3/c1-10(2)15-8-13(18)9-19-14-6-4-12(5-7-14)16-11(3)17/h4-7,10,13,15,18H,8-9H2,1-3H3,(H,16,17)/t13-/m0/s1"
Standard Inchi Key(RDKit),DURULFYMVIFBIR-ZDUSSCGKSA-N
Canonical SMILES(RDKit),CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),266.341
MW Monoisotopic(RDKit),266.163042564
MolLogP(RDKit),1.3827
XLogP(SDF),
XLogP(CDK),1.016
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),70.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.697114394276545
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,13068.204542156445
qed,0.697114394276545
Chi0,14.25071237662706
Chi1,8.96923425058676
TPSA,70.59
Chi0n,11.642025353938536
Chi0v,11.642025353938536
Chi1n,6.389915164346821
Chi1v,6.389915164346821
Chi2n,4.7333401819103385
Chi2v,4.7333401819103385
Chi3n,2.3787956902107337
Chi3v,2.3787956902107337
Chi4n,1.4608416225988674
Chi4v,1.4608416225988674
MolMR,75.38620000000004
MolWt,266.34099999999995
fr_SH,0
Kappa1,15.467438253877082
Kappa2,7.759435821524982
Kappa3,6.785046519560318
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,390.1824796027908
MolLogP,1.3826999999999992
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.3462034753047787
SMR_VSA1,14.637927532712576
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,32.917018815968135
SMR_VSA6,18.468426974431825
SMR_VSA7,24.26546827384644
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,0
