DLiP-ID,T006CY
DLiP-Mol-ID,23826
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H24N4O3/c1-11-13-10-12(17(19)20)7-8-14(13)22-16(11)18(25)21-9-5-3-2-4-6-15(23)24/h7-8,10,22H,2-6,9H2,1H3,(H3,19,20)(H,21,25)(H,23,24)"
Standard Inchi Key(RDKit),UMFSBVXISUTTIH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1c(C(=O)NCCCCCCC(=O)O)[nH]c2ccc(C(=N)N)cc12
SMILES(SDF),
MW(SDF),
MW(RDKit),344.415
MW Monoisotopic(RDKit),344.184840628
MolLogP(RDKit),2.52529
XLogP(SDF),
XLogP(CDK),2.567
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),132.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.271486367244675
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,360334.5244676213
qed,0.2714863672446745
Chi0,18.396976746569035
Chi1,11.89675460551533
TPSA,132.06
Chi0n,14.315751940305477
Chi0v,14.315751940305477
Chi1n,8.365670875707789
Chi1v,8.365670875707789
