DLiP-ID,C000ST
DLiP-Mol-ID,31309
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H22O7/c1-9-8-14(11(3)17(21)15(9)19(22)23)27-20(24)16-10(2)7-13(25-5)12(4)18(16)26-6/h7-8,21H,1-6H3,(H,22,23)"
Standard Inchi Key(RDKit),MIJKZXWOOXIEEU-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2C)c(OC)c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),374.389
MW Monoisotopic(RDKit),374.136553044
MolLogP(RDKit),3.56048
XLogP(SDF),
XLogP(CDK),4.318
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),102.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.609200470828535
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,593308.2277232112
qed,0.6092004708285349
Chi0,20.463737136208252
Chi1,12.632335372934344
TPSA,102.29
Chi0n,16.090369181698485
Chi0v,16.090369181698485
Chi1n,8.143155586198526
Chi1v,8.143155586198526
Chi2n,6.163853427636998
Chi2v,6.163853427636998
Chi3n,4.427420401599755
Chi3v,4.427420401599755
Chi4n,2.9712846833755773
Chi4v,2.9712846833755773
MolMR,98.51860000000003
MolWt,374.3890000000002
fr_SH,0
Kappa1,20.096326856319475
Kappa2,7.570866068383422
Kappa3,3.5310676202317506
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,928.9030748244165
MolLogP,3.560480000000002
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.5357417482728217
SMR_VSA1,34.0127180192252
