DLiP-ID,T001AB
DLiP-Mol-ID,16412
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11ClN2O2S/c16-10-2-1-3-11(6-10)17-15(21)18-12-5-4-9-8-20-14(19)13(9)7-12/h1-7H,8H2,(H2,17,18,21)"
Standard Inchi Key(RDKit),DPSBAXWZYPHJSC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1OCc2ccc(NC(=S)Nc3cccc(Cl)c3)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),318.785
MW Monoisotopic(RDKit),318.022976272
MolLogP(RDKit),3.8193
XLogP(SDF),
XLogP(CDK),3.503
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),50.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.650982503101726
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,82741.09744952362
qed,0.6509825031017256
Chi0,14.819626477379408
Chi1,10.114193540729628
TPSA,50.36
Chi0n,10.851268009914746
Chi0v,12.423693536860927
Chi1n,6.252984274146999
Chi1v,7.039197037620089
Chi2n,4.537530351229772
Chi2v,5.38221442216562
Chi3n,3.0289015704936073
Chi3v,3.4681228185132777
Chi4n,2.050820866965671
Chi4v,2.476810975500388
MolMR,86.85690000000001
MolWt,318.785
fr_SH,0
Kappa1,13.854018367885212
Kappa2,5.712389466182516
Kappa3,3.1463637109575506
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,733.3635987239825
MolLogP,3.819300000000002
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7058262761985594
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.606881964512918
SMR_VSA6,10.633577208012662
SMR_VSA7,58.614105776366586
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.61433068607488
NHOHCount,2
PEOE_VSA1,15.37044016181271
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,42.549708785354746
PEOE_VSA8,21.960857354805448
PEOE_VSA9,5.563451491696996
RingCount,3
SMR_VSA10,46.275328055322944
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,318.022976272
NumHDonors,2
PEOE_VSA10,6.606881964512918
PEOE_VSA11,5.112436884724758
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
SlogP_VSA2,11.081742172676607
SlogP_VSA3,11.343744918312968
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,42.46456947923127
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,1
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
