DLiP-ID,T002XP
DLiP-Mol-ID,19437
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N6O4/c1-27-10-13-8-12(6-7-15(13)24-17(22(27)32)9-19(29)30)21(31)28(2)11-18-25-16-5-3-4-14(23)20(16)26-18/h3-8,17,24H,9-11,23H2,1-2H3,(H,25,26)(H,29,30)/t17-/m0/s1"
Standard Inchi Key(RDKit),JQYCFEBYEBNEHP-KRWDZBQOSA-N
Canonical SMILES(RDKit),CN(Cc1nc2c(N)cccc2[nH]1)C(=O)c1ccc2c(c1)CN(C)C(=O)[C@H](CC(=O)O)N2
SMILES(SDF),
MW(SDF),
MW(RDKit),436.472
MW Monoisotopic(RDKit),436.185903248
MolLogP(RDKit),1.6445
XLogP(SDF),
XLogP(CDK),0.916
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),144.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.445046689891775
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,15166811.45419871
qed,0.4450466898917747
Chi0,22.990834873703708
Chi1,15.223254446010252
TPSA,144.64999999999998
Chi0n,17.753721750468074
Chi0v,17.753721750468074
Chi1n,10.074273821076282
Chi1v,10.074273821076282
Chi2n,7.949131782516142
Chi2v,7.949131782516142
Chi3n,5.469094757067462
Chi3v,5.469094757067462
Chi4n,3.857350462383592
Chi4v,3.857350462383592
MolMR,118.88310000000006
MolWt,436.47200000000026
fr_SH,0
Kappa1,21.16345429259501
Kappa2,8.215406230990117
Kappa3,4.0658714665673
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1220.3514632922718
MolLogP,1.6444999999999996
NOCount,10
fr_Ar_N,2
