DLiP-ID,C000SA
DLiP-Mol-ID,31290
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N2O2/c19-15(16(20)18-11-6-2-1-3-7-11)13-10-17-14-9-5-4-8-12(13)14/h1-10,17H,(H,18,20)"
Standard Inchi Key(RDKit),WMCHMBHWRLPJKP-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccccc1)C(=O)c1c[nH]c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),264.284
MW Monoisotopic(RDKit),264.089877624
MolLogP(RDKit),2.9893
XLogP(SDF),
XLogP(CDK),3.107
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.96
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.563985474010715
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,67742.43776176423
qed,0.5639854740107154
Chi0,13.94938298937633
Chi1,9.75402019542349
TPSA,61.96
Chi0n,10.589999272823986
Chi0v,10.589999272823986
Chi1n,6.223632431366074
Chi1v,6.223632431366074
Chi2n,4.397207745420639
Chi2v,4.397207745420639
Chi3n,3.0717565996561733
Chi3v,3.0717565996561733
Chi4n,2.0910373122249277
Chi4v,2.0910373122249277
MolMR,77.70090000000003
MolWt,264.284
fr_SH,0
Kappa1,12.169088776456997
Kappa2,5.010594408332682
Kappa3,2.18778806851962
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,775.2859131808839
MolLogP,2.989300000000001
NOCount,4
