DLiP-ID,C101TN
DLiP-Mol-ID,40449
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H27N5OS3/c1-24-10-6-15(7-11-24)28-19(26)21-9-3-2-8-20-18(25)23-14-4-5-16-17(12-14)27-13-22-16/h4-5,12-13,15H,2-3,6-11H2,1H3,(H,21,26)(H2,20,23,25)"
Standard Inchi Key(RDKit),OCHIQJDHWMQZQE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1CCC(SC(=S)NCCCCNC(=O)Nc2ccc3ncsc3c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),437.66
MW Monoisotopic(RDKit),437.137773484
MolLogP(RDKit),3.8999
XLogP(SDF),
XLogP(CDK),2.246
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),69.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.450854065610534
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,2757633.4168465133
qed,0.45085406561053365
Chi0,19.769373945685235
Chi1,13.59735678832402
TPSA,69.28999999999999
Chi0n,16.07102594829588
Chi0v,18.520515691079055
Chi1n,9.61101315057639
Chi1v,11.778567063550044
Chi2n,6.957591301635772
Chi2v,9.821222362529335
Chi3n,4.686883050155343
Chi3v,7.074789106208669
Chi4n,3.046296791857794
Chi4v,5.207603116427137
MolMR,124.58610000000004
MolWt,437.66000000000014
fr_SH,0
Kappa1,21.29274279017904
Kappa2,10.943361497246531
Kappa3,6.876846837871274
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,788.7220076688446
MolLogP,3.8999000000000024
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.2305317347865554
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,20.517465459810346
SMR_VSA4,0.0
SMR_VSA5,30.933224521686213
SMR_VSA6,38.54348621033382
SMR_VSA7,23.70964047900221
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,179.39938571546165
NHOHCount,3
PEOE_VSA1,20.85027554286947
PEOE_VSA2,0.0
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
